Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
13,2886.9120,2.34e+12,7.33e+13,1.0,0.0,1067.4786116591831,1674.337987073392,0.04645066309448256,0.5544376192848639,1.75e+05,1.85e+05,169138.42689300887,258709.482048448,18784.636622703125,100000000.0,2.483550201887152e-05,0.7293143536760804,0.525286525745662,0.8250601968992046,0.94,0.3352427098630245,0.16849720861506812,7.24829508571162e-05,0.0005230915050848152,0.9971355569036071,1.493479288926534,0.0,0.0,1683.0,1235.0,
14,3106.5060,2.37e+12,7.33e+13,1.0,0.0,1061.6471977384945,1743.2616186050545,0.04615566267518143,0.5928968961736372,1.74e+05,1.85e+05,159849.99188404446,268583.97884199175,19112.561998933037,100000000.0,2.1832588898973694e-05,0.7232666588053017,0.5243656407329225,0.824780784370136,0.94,0.31418704770758954,0.17944177528572183,7.989554129537822e-05,0.0005486034487613192,0.9950786995412713,1.4700221166747642,0.0,0.0,1683.0,1235.0,
15,3317.0930,2.37e+12,7.29e+13,1.0,0.0,1063.1311048163811,1733.5312212863255,0.04607551240754085,0.5826154592996575,1.74e+05,1.85e+05,169172.02596436982,259223.91099416686,19248.589746668527,100000000.0,2.0312732843788564e-05,0.7260716958303222,0.5229751055936356,0.8236815301828433,0.94,0.2974650879799655,0.1862669325018036,8.054597257781749e-05,0.0005256628673210021,1.0020371668260626,1.4772712147924532,0.0,0.0,1683.0,1235.0,
16,3489.5240,2.38e+12,7.42e+13,1.0,0.0,1065.9399162287236,2008.931769027874,0.04625824756699117,0.5959576823016481,1.75e+05,1.86e+05,185130.68051057484,236841.99456885643,17967.39005641178,100000000.0,1.2321157448732548e-05,0.7242833127639889,0.5215151861423184,0.8388815364957436,0.94,0.30093614468535307,0.19255232148863094,8.203604450416561e-05,0.0004887867968055344,0.9982753199631105,1.4894864799636094,0.0,0.0,1683.0,1235.0,
17,3674.7200,2.39e+12,7.41e+13,1.0,0.0,1057.0717488000569,2182.432497022758,0.04618424671743663,0.6477481643010651,1.75e+05,1.86e+05,185053.69911030866,220592.49708357145,19545.283696368897,100000000.0,8.640118562180874e-06,0.7270041061716191,0.521212082813534,0.8234901641108155,0.94,0.27461372773153075,0.18337858113207856,9.156906036882894e-05,0.0004299196087443628,0.99872958839493,1.479699376748611,0.0,0.0,1683.0,1235.0,
18,3880.7270,2.39e+12,7.40e+13,1.0,0.0,1061.364957788806,2174.1647233897093,0.04619146784050885,0.6196408885048612,1.75e+05,1.86e+05,191067.86649192168,218384.0634471808,18675.85182534567,100000000.0,7.481124204966932e-06,0.7280999312918515,0.521688893846508,0.8330640287089844,0.94,0.2794407280448056,0.18905424232427964,9.025209134755956e-05,0.0004369566726261509,0.9970963262198962,1.4816447929405507,0.0,0.0,1683.0,1235.0,
19,4102.2040,2.39e+12,7.40e+13,1.0,0.0,1061.364957788806,2174.1647233897093,0.04619146784050885,0.6196408885048612,1.75e+05,1.86e+05,191067.86649192168,218384.0634471808,18675.85182534567,100000000.0,7.481124204966932e-06,0.7280999312918515,0.521688893846508,0.8330640287089844,0.94,0.2794407280448056,0.18905424232427964,9.025209134755956e-05,0.0004369566726261509,0.9970963262198962,1.4816447929405507,0.0,0.0,1683.0,1235.0,
20,4338.1250,2.39e+12,7.42e+13,1.0,0.0,1062.4500707258348,2208.0439090956934,0.046168217461425964,0.6288665820261187,1.75e+05,1.86e+05,188132.96548808046,216555.3204983666,19008.300162010448,100000000.0,7.215551276357099e-06,0.7270706045696488,0.5214670702112563,0.8314148950951104,0.94,0.2781123466335381,0.1882351657852397,8.692434142314052e-05,0.0004293441283770882,0.995731496716459,1.482667602423268,0.0,0.0,1683.0,1235.0,
21,4577.5720,2.38e+12,7.40e+13,1.0,0.0,1060.5923845777775,2126.674579270095,0.046241171288179096,0.6231088507121307,1.75e+05,1.86e+05,187089.99339989846,222312.45328671153,18964.617363834303,100000000.0,7.037923571666856e-06,0.7269617651772464,0.521576835546709,0.8286238660138863,0.94,0.28266374274755535,0.18346944975708868,8.56984775977105e-05,0.00044519584588744744,0.9969281261013265,1.4846733132713579,0.0,0.0,1683.0,1235.0,
22,4806.5590,2.38e+12,7.41e+13,1.0,0.0,1061.2473418111854,2181.7860369623695,0.046198701663901304,0.6276200634987534,1.75e+05,1.86e+05,188205.02950334997,217804.9954693938,18815.476400234293,100000000.0,6.99125015118122e-06,0.7272934215169982,0.5220342274640428,0.8293203947959988,0.94,0.27934637336851376,0.18590422400955353,8.641664209086856e-05,0.0004343139376562047,0.9968161939782881,1.4834095244647907,0.0,0.0,1683.0,1235.0,
23,5031.3200,2.38e+12,7.41e+13,1.0,0.0,1061.8090634578707,2162.913533235948,0.04623875058497703,0.6235105050186115,1.75e+05,1.86e+05,186960.65421386083,219373.85932239582,18737.612037083265,100000000.0,6.892888538342543e-06,0.7272589175211313,0.5218545859728816,0.8284363553345027,0.94,0.2801449161894014,0.18398280780646026,8.629506314592129e-05,0.0004359316057540362,0.9963776101817758,1.4831992229619704,0.0,0.0,1683.0,1235.0,
24,5227.2080,2.38e+12,7.41e+13,1.0,0.0,1061.1861035887864,2158.2361118292456,0.04622242239555972,0.6289067240550423,1.75e+05,1.86e+05,186329.03059983678,218364.10311827215,18749.549135238653,100000000.0,6.760555436932186e-06,0.7268755497950798,0.5218222012422484,0.8276891520654305,0.94,0.27895013127960466,0.18281530347914937,8.617472535642974e-05,0.0004293065167688668,0.9960338107142579,1.481237721152315,0.0,0.0,1683.0,1235.0,
25,5386.8830,2.39e+12,7.39e+13,1.0,0.0,1062.094915114898,2146.085692210031,0.04632156804848851,0.6291095421656632,1.75e+05,1.86e+05,184294.11433647698,214836.56674435572,18385.21127094647,100000000.0,6.444164633356914e-06,0.7278586345999186,0.5220562831370277,0.8251388845857536,0.94,0.27483195925561443,0.1782011527376986,8.772838113689322e-05,0.00040775043995282224,0.9964092236525223,1.4749070530274797,0.0,0.0,1683.0,1235.0,
26,5550.2640,2.38e+12,7.40e+13,1.0,0.0,1063.8621424590156,2090.1746691589615,0.04641161542490609,0.6281133434968016,1.74e+05,1.85e+05,181141.30105260212,217064.55149809213,18391.218051159747,100000000.0,5.9450884927417e-06,0.7276257121228329,0.5208024938589032,0.8185379055830382,0.94,0.275496582034664,0.1688778592106815,8.595362697177121e-05,0.00039951016245992204,0.9947296685384751,1.4710467649707288,0.0,0.0,1683.0,1235.0,
27,5739.5640,2.40e+12,7.40e+13,1.0,0.0,1062.867802372352,2069.4853142665097,0.0465135579856541,0.6354161271867393,1.74e+05,1.85e+05,170363.30977807083,214675.21376806236,18088.859330225812,100000000.0,5.498658838469236e-06,0.7262311833083563,0.5221842878020683,0.8154193019485168,0.94,0.27034769133425374,0.16267142037542384,8.761509891421621e-05,0.00037213352497340716,0.9946083411156008,1.4601630830777115,0.0,0.0,1683.0,1235.0,
28,5925.4770,2.40e+12,7.41e+13,1.0,0.0,1067.1289317666028,2043.0198610572625,0.04650193536142577,0.6489185409322935,1.74e+05,1.85e+05,169484.20319573488,214997.40068053312,18853.86621600015,100000000.0,5.13034646337899e-06,0.7261453636152526,0.5216050970925667,0.8146871556233615,0.94,0.2711924791386998,0.15773437004620627,8.888926383255e-05,0.0003700894552190278,0.9908602493356286,1.457760036555797,0.0,0.0,1683.0,1235.0,
29,6111.5200,2.41e+12,7.42e+13,1.0,0.0,1069.4955154482564,1995.4147666648955,0.04646653751070884,0.6531967365683364,1.74e+05,1.85e+05,160453.05972709612,214329.47487101727,19319.06154201311,100000000.0,4.3633475257760505e-06,0.7259965385438667,0.5214309745261431,0.8111657151082721,0.94,0.2687197227602411,0.14745332673339656,8.880386252501353e-05,0.00035538593763959276,0.9883219410199634,1.4487876448149373,0.0,0.0,1683.0,1235.0,
30,6307.3050,2.40e+12,7.42e+13,1.0,0.0,1068.8826506014225,1939.8831033498022,0.046544647075885695,0.646035338896549,1.73e+05,1.84e+05,153996.47139318864,216835.99222423998,19442.616215144677,100000000.0,4.245642275812443e-06,0.7245652403894499,0.5203237798163676,0.8046551321580581,0.94,0.26842742236513717,0.13737781836635307,8.633840817221642e-05,0.0003513880758901243,0.9859600957958127,1.444951819485468,0.0,0.0,1683.0,1235.0,
31,6522.9150,2.41e+12,7.43e+13,1.0,0.0,1071.391984214276,1948.9822400659818,0.04659119570973037,0.6485458521915198,1.74e+05,1.84e+05,154820.07544718857,214220.54483525266,19370.699005065646,100000000.0,3.9418136801690015e-06,0.7235006446491825,0.5213417231180325,0.8066928985678778,0.94,0.2674299615462722,0.13699497728118037,8.785507590346214e-05,0.0003473545936869992,0.9859691250078327,1.4443905052670818,0.0,0.0,1683.0,1235.0,
