s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 5.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1119164E-002,-8.6762975E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1032401E-002, 0.0000000E+000, 9.7752826E-005,-5.8335687E-001
 5.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1545827E-002,-8.7363689E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1458464E-002, 0.0000000E+000, 1.0070160E-004,-5.8335687E-001
 5.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1947504E-002,-8.7940454E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1859564E-002, 0.0000000E+000, 1.0548234E-004,-5.8335687E-001
 5.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2325716E-002,-8.8516613E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2237199E-002, 0.0000000E+000, 1.1064010E-004,-5.8335687E-001
 5.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2683972E-002,-8.9054079E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2594918E-002, 0.0000000E+000, 1.1504744E-004,-5.8335687E-001
 6.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3026600E-002,-8.9526877E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2937073E-002, 0.0000000E+000, 1.1804385E-004,-5.8335687E-001
 6.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3357797E-002,-8.9953165E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3267844E-002, 0.0000000E+000, 1.1934588E-004,-5.8335687E-001
 6.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3681079E-002,-9.0353012E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3590726E-002, 0.0000000E+000, 1.1891361E-004,-5.8335687E-001
 6.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3999082E-002,-9.0708458E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3908374E-002, 0.0000000E+000, 1.1686719E-004,-5.8335687E-001
 6.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4313580E-002,-9.1040068E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4222540E-002, 0.0000000E+000, 1.1345698E-004,-5.8335687E-001
 6.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4625539E-002,-9.1350373E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4534189E-002, 0.0000000E+000, 1.0905936E-004,-5.8335687E-001
 6.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4935173E-002,-9.1644467E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4843528E-002, 0.0000000E+000, 1.0417054E-004,-5.8335687E-001
 6.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5242034E-002,-9.1931575E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5150102E-002, 0.0000000E+000, 9.9376807E-005,-5.8335687E-001
 6.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5545111E-002,-9.2225603E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5452885E-002, 0.0000000E+000, 9.5286354E-005,-5.8335687E-001
 6.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5842969E-002,-9.2542959E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5750426E-002, 0.0000000E+000, 9.2422380E-005,-5.8335687E-001
 7.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6133975E-002,-9.2858669E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6041116E-002, 0.0000000E+000, 9.1102151E-005,-5.8335687E-001
 7.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6416563E-002,-9.3215078E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6323348E-002, 0.0000000E+000, 9.1350635E-005,-5.8335687E-001
 7.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6689499E-002,-9.3585696E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6595914E-002, 0.0000000E+000, 9.2896182E-005,-5.8335687E-001
 7.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6952121E-002,-9.3994435E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6858126E-002, 0.0000000E+000, 9.5258409E-005,-5.8335687E-001
 7.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7204433E-002,-9.4368423E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7110065E-002, 0.0000000E+000, 9.7887935E-005,-5.8335687E-001
 7.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7447058E-002,-9.4715305E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7352343E-002, 0.0000000E+000, 1.0029470E-004,-5.8335687E-001
 7.6099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7692523E-002,-9.5084251E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7597438E-002, 0.0000000E+000, 1.0218638E-004,-5.8335687E-001
 7.7099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7930188E-002,-9.5383211E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7834804E-002, 0.0000000E+000, 1.0321636E-004,-5.8335687E-001
 7.8099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8150557E-002,-9.5677839E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8054880E-002, 0.0000000E+000, 1.0329719E-004,-5.8335687E-001
 7.9099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8366421E-002,-9.5935361E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8270486E-002, 0.0000000E+000, 1.0252972E-004,-5.8335687E-001
 8.0099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8578812E-002,-9.6156982E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8482655E-002, 0.0000000E+000, 1.0100842E-004,-5.8335687E-001
 8.1099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8788497E-002,-9.6402565E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8692095E-002, 0.0000000E+000, 9.8883712E-005,-5.8335687E-001
 8.2099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8995985E-002,-9.6597695E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8899387E-002, 0.0000000E+000, 9.6352407E-005,-5.8335687E-001
 8.3099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9201528E-002,-9.6765930E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9104762E-002, 0.0000000E+000, 9.3647510E-005,-5.8335687E-001
 8.4099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9405140E-002,-9.6990296E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9308149E-002, 0.0000000E+000, 9.1022399E-005,-5.8335687E-001
 8.5099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9606628E-002,-9.7162047E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9509466E-002, 0.0000000E+000, 8.8726973E-005,-5.8335687E-001
 8.6099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9805641E-002,-9.7346609E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9708295E-002, 0.0000000E+000, 8.6976753E-005,-5.8335687E-001
 8.7099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0000171E-001,-9.7569489E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9904137E-002, 0.0000000E+000, 8.5920118E-005,-5.8335687E-001
 8.8099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0019430E-001,-9.7814548E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0009649E-001, 0.0000000E+000, 8.5612258E-005,-5.8335687E-001
 8.9099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0038294E-001,-9.8061562E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0028487E-001, 0.0000000E+000, 8.6004890E-005,-5.8335687E-001
 9.0099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0056718E-001,-9.8325173E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0046886E-001, 0.0000000E+000, 8.6956861E-005,-5.8335687E-001
 9.1099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0074677E-001,-9.8579178E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0064819E-001, 0.0000000E+000, 8.8263589E-005,-5.8335687E-001
 9.2099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0092162E-001,-9.8835706E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0082278E-001, 0.0000000E+000, 8.9696473E-005,-5.8335687E-001
 9.3099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0109181E-001,-9.9108041E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0099270E-001, 0.0000000E+000, 9.1040757E-005,-5.8335687E-001
 9.4099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0125761E-001,-9.9353090E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0115826E-001, 0.0000000E+000, 9.2122906E-005,-5.8335687E-001
 9.5099998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0141942E-001,-9.9568185E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0131985E-001, 0.0000000E+000, 9.2824132E-005,-5.8335687E-001
