Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
37,2296.3171,2.88e+15,1.0,0.0,1046.8232776320879,2467.8357687954745,1.86e+05,622517.1236065435,23942.705741842386,0.0,3.1005339557758773e-06,0.7338086749851456,0.614748647881309,0.7494373637055738,0.2897853328416323,0.26621393773654656,1.5087016543073113,0.0,1683.0,1235.0,
38,2358.5086,2.90e+15,1.0,0.0,1050.3445500899447,2468.2529768881022,1.86e+05,625653.0716964265,23803.752518403424,0.0,3.0961573248527046e-06,0.7338086749851456,0.6149570310009368,0.7502900982274031,0.2925149522332059,0.2661965553507502,1.5081537550472526,0.0,1683.0,1235.0,
39,2417.8757,2.87e+15,1.0,0.0,1043.58845846736,2464.64580482892,1.86e+05,620254.7755441109,23963.03063285104,0.0,3.0801951464793623e-06,0.7338086749851456,0.6165695367115243,0.749899584489889,0.2899139480972005,0.2634259537833893,1.5065732279981046,0.0,1683.0,1235.0,
40,2482.8529,2.87e+15,1.0,0.0,1043.58845846736,2464.64580482892,1.86e+05,620254.7755441109,23963.03063285104,0.0,3.0801951464793623e-06,0.7338086749851456,0.6165695367115243,0.749899584489889,0.2899139480972005,0.2634259537833893,1.5065732279981046,0.0,1683.0,1235.0,
41,2549.3324,2.87e+15,1.0,0.0,1042.940799884493,2443.169802924624,1.86e+05,616659.423909273,23948.13252268946,0.0,3.067284272015161e-06,0.7338086749851456,0.618767114205357,0.748724074120076,0.28897068488813116,0.26176187021624875,1.5049475004273514,0.0,1683.0,1235.0,
42,2614.8091,2.87e+15,1.0,0.0,1042.9431050096907,2447.526026675724,1.87e+05,617601.5972405993,23870.73689989945,0.0,3.0538056541253277e-06,0.7338086749851456,0.6195231671376307,0.7496151283205484,0.29007026688539417,0.2603408229816515,1.5030312591708752,0.0,1683.0,1235.0,
43,2682.3396,2.85e+15,1.0,0.0,1039.9104100188906,2422.8138271043035,1.87e+05,611441.4181851256,23995.996517969994,0.0,3.053718633190233e-06,0.7338086749851456,0.6207590622115849,0.747260505807913,0.2873956128573345,0.25785973450774574,1.5035432786664453,0.0,1683.0,1235.0,
44,2743.3201,2.86e+15,1.0,0.0,1038.611352273078,2424.092776035277,1.87e+05,611006.6626777814,23923.455529646715,0.0,3.0341400885727696e-06,0.7338086749851456,0.6223405528983531,0.7479352656214133,0.2878341594719671,0.2564846458100971,1.500711130954069,0.0,1683.0,1235.0,
45,2808.4785,2.86e+15,1.0,0.0,1038.611352273078,2424.092776035277,1.87e+05,611006.6626777814,23923.455529646715,0.0,3.0341400885727696e-06,0.7338086749851456,0.6223405528983531,0.7479352656214133,0.2878341594719671,0.2564846458100971,1.500711130954069,0.0,1683.0,1235.0,
46,2877.1013,2.85e+15,1.0,0.0,1036.8081883374166,2435.0136807317867,1.87e+05,610999.1919409313,24024.925063586463,0.0,3.026810310190673e-06,0.7338086749851456,0.6206954608298958,0.7482709772162666,0.2862314394716462,0.2563161334348718,1.5035854486265383,0.0,1683.0,1235.0,
47,2940.7953,2.85e+15,1.0,0.0,1035.9865006291732,2445.406879861582,1.87e+05,611469.8127160228,24003.45667577193,0.0,3.0196562279676926e-06,0.7338086749851456,0.6201688038163029,0.7489098204232347,0.28577500982420034,0.25506385699747014,1.504779731053798,0.0,1683.0,1235.0,
48,3006.4110,2.83e+15,1.0,0.0,1031.859586448535,2408.7627343695276,1.88e+05,605576.6394815135,24036.542844488562,0.0,3.001172920863683e-06,0.7338086749851456,0.6240861347890135,0.7485266697374263,0.2837385019304969,0.24916804176496898,1.5025647124399786,0.0,1683.0,1235.0,
49,3076.8735,2.82e+15,1.0,0.0,1028.9860005913824,2420.517003727903,1.88e+05,605574.853805017,24109.74705372987,0.0,2.994106358370643e-06,0.7338086749851456,0.6233868774275415,0.7494495853629572,0.2832307255300427,0.24852967306554413,1.5039264318121646,0.0,1683.0,1235.0,
50,3147.3897,2.82e+15,1.0,0.0,1028.3202210647926,2392.947101684263,1.88e+05,601790.9442522337,24106.625827895572,0.0,2.9882700722134876e-06,0.7338086749851456,0.6255021192388401,0.7478162230912775,0.2825453001088827,0.24664879975789933,1.5017346052397085,0.0,1683.0,1235.0,
51,3223.2288,2.82e+15,1.0,0.0,1027.131610678461,2395.370435012389,1.88e+05,601677.752419243,24075.423472018243,0.0,2.9799918533130484e-06,0.7338086749851456,0.6265473430362825,0.7487078216001972,0.2831419445195293,0.24534884356744902,1.5005591111754841,0.0,1683.0,1235.0,
52,3291.6321,2.79e+15,1.0,0.0,1021.2379054173284,2379.388501795721,1.88e+05,595705.9848787452,24205.66006183828,0.0,2.9745656161142157e-06,0.7338086749851456,0.6282621355300081,0.748222987476302,0.27961617178137277,0.24019804078958218,1.5014919710792225,0.0,1683.0,1235.0,
53,3363.8669,2.79e+15,1.0,0.0,1021.2379054173284,2379.388501795721,1.88e+05,595705.9848787452,24205.66006183828,0.0,2.9745656161142157e-06,0.7338086749851456,0.6282621355300081,0.748222987476302,0.27961617178137277,0.24019804078958218,1.5014919710792225,0.0,1683.0,1235.0,
54,3436.4029,2.79e+15,1.0,0.0,1021.2379054173284,2379.388501795721,1.88e+05,595705.9848787452,24205.66006183828,0.0,2.9745656161142157e-06,0.7338086749851456,0.6282621355300081,0.748222987476302,0.27961617178137277,0.24019804078958218,1.5014919710792225,0.0,1683.0,1235.0,
55,3508.5606,2.80e+15,1.0,0.0,1022.2511663056503,2381.9658318636575,1.88e+05,597107.0510012263,24141.96324343853,0.0,2.9703364014435513e-06,0.7338086749851456,0.6283518734310267,0.7488286436545452,0.2804766790651616,0.24004063994471386,1.5010799292893497,0.0,1683.0,1235.0,
56,3581.7503,2.80e+15,1.0,0.0,1020.8326573483573,2383.3016632166436,1.89e+05,596733.1367049541,24176.156870766798,0.0,2.9662923635654146e-06,0.7338086749851456,0.6284803810675677,0.7494600821241799,0.2801457387853632,0.2389895828190283,1.5020716561141074,0.0,1683.0,1235.0,
