Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,r0-qIgn,p0-rho,p1-rho,
106,87054.0251,1.16e+12,1.0,0.0,1085.219816658801,1087.5431852713737,0.011372846721211083,0.1885717297365841,1.78e+05,99995.45166741493,33084.19152360707,100000000.0,1.5471796493648706e-07,0.7338086749851456,0.9415581455638695,0.94,0.3162734280755055,0.08613807912882988,2.8623235800122626e-05,0.0002941114727227956,0.9849520452701941,0.0,20.387026734455766,1683.0,1235.0,
107,87213.6570,1.16e+12,1.0,0.0,1085.1688174065455,1087.3705974150248,0.011505603816704839,0.18866828586001025,1.78e+05,99998.94652698845,33067.316943927246,100000000.0,1.5471734107184998e-07,0.7338086749851456,0.9415701748204833,0.94,0.31626449193151723,0.08619939825305732,2.8646236671098223e-05,0.00029403870592122213,0.9850426586557828,0.0,20.38721288477999,1683.0,1235.0,
108,87370.8700,1.16e+12,1.0,0.0,1085.1688174065455,1087.3705974150248,0.011505603816704839,0.18866828586001025,1.78e+05,99998.94652698845,33067.316943927246,100000000.0,1.5471734107184998e-07,0.7338086749851456,0.9415701748204833,0.94,0.31626449193151723,0.08619939825305732,2.8646236671098223e-05,0.00029403870592122213,0.9850426586557828,0.0,20.38721288477999,1683.0,1235.0,
109,87536.1125,1.16e+12,1.0,0.0,1085.1688174065455,1087.3705974150248,0.011505603816704839,0.18866828586001025,1.78e+05,99998.94652698845,33067.316943927246,100000000.0,1.5471734107184998e-07,0.7338086749851456,0.9415701748204833,0.94,0.31626449193151723,0.08619939825305732,2.8646236671098223e-05,0.00029403870592122213,0.9850426586557828,0.0,20.38721288477999,1683.0,1235.0,
110,87703.9480,1.16e+12,1.0,0.0,1085.202446107302,1087.9156446522748,0.011409634370048972,0.1879161773417018,1.78e+05,99997.72312974762,33059.546768224514,100000000.0,1.546511032703985e-07,0.7338086749851456,0.941556988754662,0.94,0.3162721593128718,0.0862305965897899,2.8622896636215065e-05,0.00029398471961595576,0.9849983989897502,0.0,20.386887720101562,1683.0,1235.0,
111,87874.1136,1.16e+12,1.0,0.0,1085.202446107302,1087.9156446522748,0.011409634370048972,0.1879161773417018,1.78e+05,99997.72312974762,33059.546768224514,100000000.0,1.546511032703985e-07,0.7338086749851456,0.941556988754662,0.94,0.3162721593128718,0.0862305965897899,2.8622896636215065e-05,0.00029398471961595576,0.9849983989897502,0.0,20.386887720101562,1683.0,1235.0,
112,88041.3313,1.16e+12,1.0,0.0,1085.202446107302,1087.9156446522748,0.011409634370048972,0.1879161773417018,1.78e+05,99997.72312974762,33059.546768224514,100000000.0,1.546511032703985e-07,0.7338086749851456,0.941556988754662,0.94,0.3162721593128718,0.0862305965897899,2.8622896636215065e-05,0.00029398471961595576,0.9849983989897502,0.0,20.386887720101562,1683.0,1235.0,
113,88213.0458,1.16e+12,1.0,0.0,1085.202446107302,1087.9156446522748,0.011409634370048972,0.1879161773417018,1.78e+05,99997.72312974762,33059.546768224514,100000000.0,1.546511032703985e-07,0.7338086749851456,0.941556988754662,0.94,0.3162721593128718,0.0862305965897899,2.8622896636215065e-05,0.00029398471961595576,0.9849983989897502,0.0,20.386887720101562,1683.0,1235.0,
114,88380.7125,1.16e+12,1.0,0.0,1085.202446107302,1087.9156446522748,0.011409634370048972,0.1879161773417018,1.78e+05,99997.72312974762,33059.546768224514,100000000.0,1.546511032703985e-07,0.7338086749851456,0.941556988754662,0.94,0.3162721593128718,0.0862305965897899,2.8622896636215065e-05,0.00029398471961595576,0.9849983989897502,0.0,20.386887720101562,1683.0,1235.0,
115,88543.6757,1.16e+12,1.0,0.0,1085.202446107302,1087.9156446522748,0.011409634370048972,0.1879161773417018,1.78e+05,99997.72312974762,33059.546768224514,100000000.0,1.546511032703985e-07,0.7338086749851456,0.941556988754662,0.94,0.3162721593128718,0.0862305965897899,2.8622896636215065e-05,0.00029398471961595576,0.9849983989897502,0.0,20.386887720101562,1683.0,1235.0,
116,88707.0603,1.16e+12,1.0,0.0,1085.202446107302,1087.9156446522748,0.011409634370048972,0.1879161773417018,1.78e+05,99997.72312974762,33059.546768224514,100000000.0,1.546511032703985e-07,0.7338086749851456,0.941556988754662,0.94,0.3162721593128718,0.0862305965897899,2.8622896636215065e-05,0.00029398471961595576,0.9849983989897502,0.0,20.386887720101562,1683.0,1235.0,
117,88866.5859,1.16e+12,1.0,0.0,1085.2557130939413,1087.6428920433677,0.0113395323126175,0.18822801054774213,1.78e+05,100002.74626909473,33088.38319676945,100000000.0,1.5463362069639907e-07,0.7338086749851456,0.9415592709422849,0.94,0.3162837141863325,0.08622691937557886,2.860842489513746e-05,0.0002940010542449435,0.9850825427442553,0.0,20.387376099491537,1683.0,1235.0,
118,89038.5482,1.16e+12,1.0,0.0,1085.2557130939413,1087.6428920433677,0.0113395323126175,0.18822801054774213,1.78e+05,100002.74626909473,33088.38319676945,100000000.0,1.5463362069639907e-07,0.7338086749851456,0.9415592709422849,0.94,0.3162837141863325,0.08622691937557886,2.860842489513746e-05,0.0002940010542449435,0.9850825427442553,0.0,20.387376099491537,1683.0,1235.0,
119,89202.1526,1.16e+12,1.0,0.0,1085.2557130939413,1087.6428920433677,0.0113395323126175,0.18822801054774213,1.78e+05,100002.74626909473,33088.38319676945,100000000.0,1.5463362069639907e-07,0.7338086749851456,0.9415592709422849,0.94,0.3162837141863325,0.08622691937557886,2.860842489513746e-05,0.0002940010542449435,0.9850825427442553,0.0,20.387376099491537,1683.0,1235.0,
