Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
31,1041.6428,5.23e+10,1.0,2066.143246272633,1.54e+05,865341.8241005344,898.3467217276866,3.3699830708945745e-06,0.0,0.805410157906563,0.2708221081541303,0.9333492126652561,0.0,1189.37,
32,1090.7355,5.11e+10,1.0,2032.6014353563041,1.55e+05,851521.4556806689,915.548506668486,3.0999117784128438e-06,0.0,0.8062369456598661,0.26766348559458175,0.9390722463941701,0.0,1189.37,
33,1137.8545,5.11e+10,1.0,2032.6014353563041,1.55e+05,851521.4556806689,915.548506668486,3.0999117784128438e-06,0.0,0.8062369456598661,0.26766348559458175,0.9390722463941701,0.0,1189.37,
34,1188.2704,5.11e+10,1.0,2030.1194155874628,1.55e+05,850694.3025210344,916.6286088500666,3.037549291298824e-06,0.0,0.806557083732963,0.26707181868700247,0.9389526806407399,0.0,1189.37,
35,1236.4943,5.11e+10,1.0,2030.1194155874628,1.55e+05,850694.3025210344,916.6286088500666,3.037549291298824e-06,0.0,0.806557083732963,0.26707181868700247,0.9389526806407399,0.0,1189.37,
36,1286.1045,5.07e+10,1.0,2018.6428934181436,1.55e+05,846334.7948777147,924.7406741699627,2.844929943804537e-06,0.0,0.8078208934110718,0.2655841127513139,0.9414576510520826,0.0,1189.37,
37,1335.7136,5.02e+10,1.0,2002.6413567621357,1.55e+05,840209.7845146295,934.6591819017433,2.674881369883432e-06,0.0,0.8093188957399344,0.26330290733957495,0.9442655076457852,0.0,1189.37,
38,1386.7691,5.02e+10,1.0,2000.9259998710995,1.55e+05,839504.5285008783,935.8194960066769,2.6332526385445805e-06,0.0,0.8093207152169856,0.26329933073986134,0.944740438368062,0.0,1189.37,
39,1437.3182,5.00e+10,1.0,2007.2459834375702,1.55e+05,841827.2100324312,936.3414143833521,2.5297031502659695e-06,0.0,0.8119841882295289,0.2640397552442041,0.9495667740773117,0.0,1189.37,
40,1486.8503,4.97e+10,1.0,1987.7150953498249,1.56e+05,834638.672308834,948.8962281098877,2.1403977543620515e-06,0.0,0.8120245606820666,0.2611820633174786,0.9496658893530097,0.0,1189.37,
41,1537.6916,4.98e+10,1.0,1991.764507133673,1.55e+05,835981.9053714374,945.9733406401051,2.041293162251166e-06,0.0,0.8114045797267212,0.26205437777258234,0.9492910348769479,0.0,1189.37,
42,1587.2827,4.98e+10,1.0,1991.764507133673,1.55e+05,835981.9053714374,945.9733406401051,2.041293162251166e-06,0.0,0.8114045797267212,0.26205437777258234,0.9492910348769479,0.0,1189.37,
43,1637.8188,4.98e+10,1.0,1991.764507133673,1.55e+05,835981.9053714374,945.9733406401051,2.041293162251166e-06,0.0,0.8114045797267212,0.26205437777258234,0.9492910348769479,0.0,1189.37,
44,1690.8310,4.96e+10,1.0,1989.54688825194,1.56e+05,835093.9330713445,949.2511728181621,2.0048656553489442e-06,0.0,0.8125024063050408,0.261895660261378,0.9517372563981209,0.0,1189.37,
45,1734.7130,4.97e+10,1.0,1990.6051726100995,1.56e+05,835408.7118416859,948.2838807353935,1.989017724772941e-06,0.0,0.8119754830455963,0.2622452052677979,0.9511736466212282,0.0,1189.37,
46,1783.1428,4.96e+10,1.0,1989.4775472818405,1.56e+05,835149.8951965563,948.9993108876242,1.988025554852879e-06,0.0,0.8124813489367232,0.2617362470559674,0.9513648553103019,0.0,1189.37,
47,1833.6408,4.96e+10,1.0,1989.1253064869156,1.56e+05,834951.468295356,950.9994102044934,1.952735955329737e-06,0.0,0.8128106450282737,0.261983965303916,0.9526095927001027,0.0,1189.37,
48,1884.6533,4.95e+10,1.0,1988.9618342459662,1.56e+05,835007.8350864423,951.1658279225528,1.927442840933798e-06,0.0,0.8133943387358247,0.2618426268271991,0.9531174110046787,0.0,1189.37,
49,1932.4908,4.97e+10,1.0,1992.6779473320325,1.56e+05,836454.5302433197,948.6485313338329,1.8776361802255638e-06,0.0,0.8130792059538894,0.2623454905957714,0.9524222606839086,0.0,1189.37,
50,1979.7158,4.96e+10,1.0,1991.740850213116,1.56e+05,836350.3538161088,951.4103815158194,1.7861515550591787e-06,0.0,0.8142802660406635,0.26222062338612384,0.9541992580730841,0.0,1189.37,
51,2030.1667,4.96e+10,1.0,1991.740850213116,1.56e+05,836350.3538161088,951.4103815158194,1.7861515550591787e-06,0.0,0.8142802660406635,0.26222062338612384,0.9541992580730841,0.0,1189.37,
52,2078.3376,4.95e+10,1.0,1990.6235007072733,1.56e+05,836022.1921277104,952.7964741185433,1.7767697178160642e-06,0.0,0.814966781068903,0.26202997043233583,0.9551553593538402,0.0,1189.37,
53,2126.8297,4.95e+10,1.0,1990.6235007072733,1.56e+05,836022.1921277104,952.7964741185433,1.7767697178160642e-06,0.0,0.814966781068903,0.26202997043233583,0.9551553593538402,0.0,1189.37,
54,2174.8401,4.92e+10,1.0,1988.7525957866533,1.56e+05,836100.3374655559,963.4331622934374,1.6540788415187708e-06,0.0,0.8190394312936239,0.26221222425704316,0.9621869600739383,0.0,1189.37,
55,2225.9397,4.92e+10,1.0,1988.6668038910175,1.56e+05,836077.2851030948,963.6865962398317,1.6241408498586224e-06,0.0,0.819211113536128,0.26228196332168197,0.962473267971145,0.0,1189.37,
56,2275.0504,4.92e+10,1.0,1988.6668038910175,1.56e+05,836077.2851030948,963.6865962398317,1.6241408498586224e-06,0.0,0.819211113536128,0.26228196332168197,0.962473267971145,0.0,1189.37,
57,2322.2414,4.92e+10,1.0,1991.5881896068724,1.56e+05,837358.9834806372,962.7382439768267,1.6159962601127783e-06,0.0,0.819683996596562,0.2628697744580536,0.9625146876308676,0.0,1189.37,
58,2369.9439,4.92e+10,1.0,1988.057981055987,1.56e+05,835647.2295121669,963.1400032502129,1.6048805296764378e-06,0.0,0.8183888520412782,0.2623712166914931,0.9616149862802381,0.0,1189.37,
59,2418.8925,4.92e+10,1.0,1988.057981055987,1.56e+05,835647.2295121669,963.1400032502129,1.6048805296764378e-06,0.0,0.8183888520412782,0.2623712166914931,0.9616149862802381,0.0,1189.37,
60,2469.2153,4.92e+10,1.0,1988.057981055987,1.56e+05,835647.2295121669,963.1400032502129,1.6048805296764378e-06,0.0,0.8183888520412782,0.2623712166914931,0.9616149862802381,0.0,1189.37,
61,2513.8039,4.93e+10,1.0,1985.4729128727486,1.56e+05,834084.3601061816,960.9327638480825,1.5879549990328865e-06,0.0,0.8161429864817799,0.26198219229738084,0.9591300716085251,0.0,1189.37,
62,2561.9153,4.93e+10,1.0,1985.4729128727486,1.56e+05,834084.3601061816,960.9327638480825,1.5879549990328865e-06,0.0,0.8161429864817799,0.26198219229738084,0.9591300716085251,0.0,1189.37,
63,2611.7245,4.93e+10,1.0,1984.5232969508033,1.56e+05,833673.0140906787,962.0327944241329,1.5808701760725083e-06,0.0,0.8161330606840493,0.26195867282943225,0.9595903375258639,0.0,1189.37,
64,2664.2383,4.93e+10,1.0,1984.0833838897481,1.56e+05,833509.1605548528,962.3916438930291,1.5670459235387719e-06,0.0,0.8162575357631292,0.2618934092330435,0.9598319067227601,0.0,1189.37,
65,2714.4640,4.94e+10,1.0,1978.7700223154916,1.56e+05,830639.6572377367,961.6614852670202,1.5576793174811547e-06,0.0,0.8132851674216283,0.261234585570577,0.9574408877998206,0.0,1189.37,
66,2760.3238,4.94e+10,1.0,1978.7700223154916,1.56e+05,830639.6572377367,961.6614852670202,1.5576793174811547e-06,0.0,0.8132851674216283,0.261234585570577,0.9574408877998206,0.0,1189.37,
67,2808.6938,4.94e+10,1.0,1978.3274865895683,1.56e+05,830562.5520650512,962.8908044270108,1.5559162604237413e-06,0.0,0.8137155992807693,0.2611921445464498,0.9581909874529078,0.0,1189.37,
68,2857.4983,4.94e+10,1.0,1978.4997016216312,1.56e+05,830489.9723329935,961.9570540878794,1.5338923115366066e-06,0.0,0.8133424688542897,0.26126855016496353,0.9577834695730463,0.0,1189.37,
69,2901.6966,4.94e+10,1.0,1978.3458238292224,1.56e+05,830418.3193433261,962.2616311207025,1.525242703720924e-06,0.0,0.8135980213214422,0.26133140388993825,0.95831151791906,0.0,1189.37,
70,2951.4049,4.94e+10,1.0,1978.0977202723602,1.56e+05,830348.3324118309,962.5213711601002,1.5217391328693318e-06,0.0,0.813547826505499,0.2612565562546213,0.9582144388714895,0.0,1189.37,
71,2999.8990,4.94e+10,1.0,1978.3462332551576,1.56e+05,830433.7740151465,962.1615715768276,1.5205493473873129e-06,0.0,0.8134858379111107,0.2612791542682453,0.9580532849841902,0.0,1189.37,
72,3050.3150,4.94e+10,1.0,1977.3547014252263,1.56e+05,829794.3409096877,961.5854157476681,1.517184022430687e-06,0.0,0.8128009776571472,0.26120795344084263,0.9576105212631996,0.0,1189.37,
73,3101.4118,4.94e+10,1.0,1977.2268407605284,1.56e+05,829809.0356919348,961.9197598846879,1.511644577098071e-06,0.0,0.8129062608865508,0.26115731723092883,0.9576565811185727,0.0,1189.37,
74,3149.6357,4.94e+10,1.0,1976.9641378155143,1.56e+05,829653.5028720166,961.850032416457,1.5099586435243898e-06,0.0,0.8127862689392855,0.2611362227154904,0.9576232712730561,0.0,1189.37,
75,3199.1348,4.95e+10,1.0,1974.7925774789906,1.56e+05,828512.7439980074,961.8108311490408,1.5011387572473783e-06,0.0,0.8117610635696706,0.260865812337046,0.9569127767561184,0.0,1189.37,
76,3248.2825,4.95e+10,1.0,1973.7165694882574,1.56e+05,827917.1203463643,961.6404902708924,1.4948856997541568e-06,0.0,0.8112347737059675,0.2607379079648301,0.9565922342189682,0.0,1189.37,
77,3296.6349,4.95e+10,1.0,1973.1312584801603,1.56e+05,827579.3022977079,961.4424546739722,1.4939029737512235e-06,0.0,0.8108885290100092,0.26066804203078187,0.95632588049486,0.0,1189.37,
78,3344.4124,4.95e+10,1.0,1972.5036701836648,1.56e+05,827263.0144351821,961.5248935171071,1.4925585593317403e-06,0.0,0.8106497245775572,0.26058885279654687,0.9562045710188709,0.0,1189.37,
79,3391.4372,4.95e+10,1.0,1971.4548698999602,1.56e+05,826743.2634481018,961.6906636761296,1.4896816337543039e-06,0.0,0.8102281672351224,0.26044992112513465,0.9559380279974146,0.0,1189.37,
80,3440.4739,4.95e+10,1.0,1970.5970003662324,1.56e+05,826326.0421153817,961.9680202643009,1.4761616002462896e-06,0.0,0.8100244956521581,0.26032545212822555,0.9559718220545691,0.0,1189.37,
81,3490.4834,4.95e+10,1.0,1968.7910753364722,1.56e+05,825452.6532559099,962.516830835986,1.4610358445569651e-06,0.0,0.8095076429128587,0.2600547096591315,0.9558774166191291,0.0,1189.37,
82,3538.8895,4.96e+10,1.0,1962.4229522754595,1.56e+05,822171.3913073353,963.409563832802,1.4310321312865001e-06,0.0,0.8075410498191105,0.25922350948740414,0.9556142651990391,0.0,1189.37,
83,3591.2392,4.96e+10,1.0,1963.8378289798193,1.56e+05,822928.3193839297,963.4710167826943,1.425476223935268e-06,0.0,0.8081201042265009,0.2593797693791444,0.9559004135055146,0.0,1189.37,
84,3644.6528,4.96e+10,1.0,1964.6504193346336,1.56e+05,823414.8191004379,963.9999370572286,1.4168309531208361e-06,0.0,0.8087936603061516,0.2594330420474268,0.956619139288015,0.0,1189.37,
85,3697.5840,4.96e+10,1.0,1962.381324068359,1.56e+05,822299.0047914425,964.6303103270944,1.4156813347945988e-06,0.0,0.8081618896857994,0.25911542634348184,0.9565598853191766,0.0,1189.37,
86,3748.6986,4.96e+10,1.0,1964.646138205635,1.56e+05,823497.1170795726,964.684225001482,1.4140075167947101e-06,0.0,0.8091518727149671,0.25939387419913795,0.9571435486668647,0.0,1189.37,
87,3802.9199,4.96e+10,1.0,1964.171737178488,1.56e+05,823218.838995234,964.3959164935532,1.41246301657566e-06,0.0,0.808745469042387,0.2593582413245143,0.9566869461966316,0.0,1189.37,
88,3857.2774,4.96e+10,1.0,1964.258118074953,1.56e+05,823339.4668364113,965.0083105017432,1.4099960231642932e-06,0.0,0.8091083170718586,0.2593366287028179,0.9571846284245699,0.0,1189.37,
89,3908.5461,4.96e+10,1.0,1963.067334783536,1.56e+05,822727.6619546079,965.0849001246588,1.4096102004323942e-06,0.0,0.8086090361241183,0.25919122952699186,0.9568751793692027,0.0,1189.37,
