Loop,Time,r0-A,p0-C0,p0-Cpa,p0-Cpb,r0-E,r0-Hp,p0-K,Value,r0-Xi,p0-eps,p0-ka,p0-kb,r0-n,r0-nO2,p0-rho,
79,4890.9610,5.09e+10,1.0,195.61338460851658,3.998955304945568,1.55e+05,779709.4382539078,955.1252555876104,1.2353185802773973e-06,0.0,0.7713350332427127,0.10707362614497039,0.00031553778744859695,0.9131313535787018,0.0,1189.37,
80,4957.9400,5.08e+10,1.0,195.45497529454565,4.004204108531284,1.55e+05,780346.9522697169,953.9602509307658,1.2270274192301214e-06,0.0,0.7712088063556892,0.10839546413250142,0.00031345502094398117,0.9107421245733943,0.0,1189.37,
81,5029.3841,5.08e+10,1.0,195.45497529454565,4.004204108531284,1.55e+05,780346.9522697169,953.9602509307658,1.2270274192301214e-06,0.0,0.7712088063556892,0.10839546413250142,0.00031345502094398117,0.9107421245733943,0.0,1189.37,
82,5098.5031,5.10e+10,1.0,195.397462997236,4.009679046870517,1.55e+05,780870.0827204073,952.2072173075708,1.2252537258839885e-06,0.0,0.7705927071462642,0.11012421404953883,0.0003105076064065346,0.908753966279982,0.0,1189.37,
83,5164.5923,5.09e+10,1.0,195.4906365683559,4.003436376195845,1.55e+05,780254.9906372044,954.1876843124094,1.2243910192006924e-06,0.0,0.7712038297055408,0.10823282791840838,0.00031373521048783305,0.9111121546186726,0.0,1189.37,
84,5230.4673,5.09e+10,1.0,195.53017429615034,4.002989179617542,1.55e+05,780159.5977025639,954.0473291346002,1.221131721328678e-06,0.0,0.7710766155926022,0.108220774225622,0.0003136364010556871,0.9114343228432631,0.0,1189.37,
85,5302.8522,5.09e+10,1.0,195.37297580342965,4.0081416279174995,1.55e+05,780746.3223520485,952.8070044162014,1.2194750643217051e-06,0.0,0.7709352385850213,0.10950818877051255,0.000311658720235101,0.9092964964043925,0.0,1189.37,
86,5373.0016,5.09e+10,1.0,195.37297580342965,4.0081416279174995,1.55e+05,780746.3223520485,952.8070044162014,1.2194750643217051e-06,0.0,0.7709352385850213,0.10950818877051255,0.000311658720235101,0.9092964964043925,0.0,1189.37,
87,5446.8419,5.08e+10,1.0,195.28243629233245,4.010638033941187,1.55e+05,781167.0996974213,952.6803402453862,1.2187615849797442e-06,0.0,0.771179288685244,0.10997394413565337,0.00031106534631751255,0.9080299055703032,0.0,1189.37,
88,5510.5261,5.09e+10,1.0,195.28551117220823,4.011046638499303,1.55e+05,781149.1661241488,952.3085756597055,1.2111753218215056e-06,0.0,0.7710195502530635,0.1101508605488567,0.00031070333408575825,0.908035637879991,0.0,1189.37,
89,5580.4644,5.09e+10,1.0,195.33636397431158,4.009199118478838,1.55e+05,780921.9497420278,952.7103332111014,1.2111122552152417e-06,0.0,0.7710579733032974,0.10969392445764661,0.00031142126235359435,0.9088372502099471,0.0,1189.37,
90,5648.5855,5.08e+10,1.0,195.25335763464986,4.010508814628559,1.55e+05,781106.5013170893,952.5720913871917,1.208758165175505e-06,0.0,0.771233654618926,0.1098380070590143,0.0003113371671856347,0.9082851198061419,0.0,1189.37,
91,5719.5031,5.07e+10,1.0,195.17517083016577,4.011656266242286,1.55e+05,781297.2259646042,952.5852362943542,1.2037427792169235e-06,0.0,0.7714509687357851,0.10994024401813898,0.0003113480102187627,0.9077203024672333,0.0,1189.37,
92,5789.7261,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
93,5863.8646,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
94,5933.6691,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
95,6004.0483,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
96,6071.2405,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
97,6142.2962,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
98,6213.3929,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
99,6284.6173,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
100,6352.6129,5.08e+10,1.0,195.37305153945195,4.004990745922565,1.55e+05,780438.4859826518,953.8713852137711,1.2014282073631535e-06,0.0,0.7714305677472018,0.1083649020753445,0.0003137047711401428,0.9106170467903523,0.0,1189.37,
101,6423.3243,5.08e+10,1.0,195.36866374759921,4.00572558175454,1.55e+05,780468.7387132087,953.5196018901981,1.1991412705958052e-06,0.0,0.7712425260313511,0.10864499656977976,0.000313193979007143,0.9103821720245391,0.0,1189.37,
102,6495.3212,5.08e+10,1.0,195.36866374759921,4.00572558175454,1.55e+05,780468.7387132087,953.5196018901981,1.1991412705958052e-06,0.0,0.7712425260313511,0.10864499656977976,0.000313193979007143,0.9103821720245391,0.0,1189.37,
103,6564.0258,5.08e+10,1.0,195.36866374759921,4.00572558175454,1.55e+05,780468.7387132087,953.5196018901981,1.1991412705958052e-06,0.0,0.7712425260313511,0.10864499656977976,0.000313193979007143,0.9103821720245391,0.0,1189.37,
104,6629.8287,5.08e+10,1.0,195.37066591769087,4.005647771199824,1.55e+05,780463.3318835008,953.5565890442202,1.1987371353201187e-06,0.0,0.771252985484318,0.1086208218870682,0.0003132396197805103,0.9104039947951998,0.0,1189.37,
105,6694.3315,5.08e+10,1.0,195.37066591769087,4.005647771199824,1.55e+05,780463.3318835008,953.5565890442202,1.1987371353201187e-06,0.0,0.771252985484318,0.1086208218870682,0.0003132396197805103,0.9104039947951998,0.0,1189.37,
106,6767.6946,5.08e+10,1.0,195.37066591769087,4.005647771199824,1.55e+05,780463.3318835008,953.5565890442202,1.1987371353201187e-06,0.0,0.771252985484318,0.1086208218870682,0.0003132396197805103,0.9104039947951998,0.0,1189.37,
107,6837.5031,5.08e+10,1.0,195.37066591769087,4.005647771199824,1.55e+05,780463.3318835008,953.5565890442202,1.1987371353201187e-06,0.0,0.771252985484318,0.1086208218870682,0.0003132396197805103,0.9104039947951998,0.0,1189.37,
108,6904.6022,5.08e+10,1.0,195.37066591769087,4.005647771199824,1.55e+05,780463.3318835008,953.5565890442202,1.1987371353201187e-06,0.0,0.771252985484318,0.1086208218870682,0.0003132396197805103,0.9104039947951998,0.0,1189.37,
109,6974.9403,5.08e+10,1.0,195.36432921318277,4.005768606855937,1.55e+05,780470.8607489287,953.5021157175814,1.1984332597740887e-06,0.0,0.7712514683391685,0.10864035065066738,0.0003132045991630812,0.9103885216172164,0.0,1189.37,
110,7046.2513,5.08e+10,1.0,195.36432921318277,4.005768606855937,1.55e+05,780470.8607489287,953.5021157175814,1.1984332597740887e-06,0.0,0.7712514683391685,0.10864035065066738,0.0003132045991630812,0.9103885216172164,0.0,1189.37,
111,7118.2809,5.08e+10,1.0,195.36432921318277,4.005768606855937,1.55e+05,780470.8607489287,953.5021157175814,1.1984332597740887e-06,0.0,0.7712514683391685,0.10864035065066738,0.0003132045991630812,0.9103885216172164,0.0,1189.37,
112,7191.8818,5.08e+10,1.0,195.36432921318277,4.005768606855937,1.55e+05,780470.8607489287,953.5021157175814,1.1984332597740887e-06,0.0,0.7712514683391685,0.10864035065066738,0.0003132045991630812,0.9103885216172164,0.0,1189.37,
