s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 2.8800000E+002, 8.0000032E-003, 7.8613568E+002, 6.4609546E+002
 2.8900000E+002, 8.0000032E-003, 7.8652814E+002, 6.4775775E+002
 2.9000000E+002, 8.0000032E-003, 7.8691815E+002, 6.4940625E+002
 2.9100000E+002, 8.0000032E-003, 7.8730475E+002, 6.5104126E+002
 2.9200000E+002, 8.0000032E-003, 7.8768762E+002, 6.5266266E+002
 2.9300000E+002, 8.0000032E-003, 7.8807050E+002, 6.5427081E+002
 2.9400000E+002, 8.0000032E-003, 7.8844995E+002, 6.5586584E+002
 2.9500000E+002, 8.0000032E-003, 7.8882678E+002, 6.5744788E+002
 2.9600000E+002, 8.0000032E-003, 7.8920312E+002, 6.5901685E+002
 2.9700000E+002, 8.0000032E-003, 7.8957281E+002, 6.6057281E+002
 2.9800000E+002, 8.0000032E-003, 7.8994183E+002, 6.6211609E+002
 2.9900000E+002, 8.0000032E-003, 7.9031006E+002, 6.6364691E+002
 3.0000000E+002, 8.0000032E-003, 7.9067450E+002, 6.6516492E+002
 3.0100000E+002, 8.0000032E-003, 7.9103650E+002, 6.6667059E+002
 3.0200000E+002, 8.0000032E-003, 7.9139777E+002, 6.6816394E+002
 3.0300000E+002, 8.0000032E-003, 7.9175470E+002, 6.6964514E+002
 3.0400000E+002, 8.0000032E-003, 7.9210968E+002, 6.7111407E+002
 3.0500000E+002, 8.0000032E-003, 7.9246387E+002, 6.7257104E+002
 3.0600000E+002, 8.0000032E-003, 7.9281409E+002, 6.7401605E+002
 3.0700000E+002, 8.0000032E-003, 7.9316278E+002, 6.7544922E+002
 3.0800000E+002, 8.0000032E-003, 7.9350574E+002, 6.7687061E+002
 3.0900000E+002, 8.0000032E-003, 7.9385040E+002, 6.7828027E+002
 3.1000000E+002, 8.0000032E-003, 7.9418976E+002, 6.7967853E+002
 3.1100000E+002, 8.0000032E-003, 7.9452960E+002, 6.8106519E+002
 3.1200000E+002, 8.0000032E-003, 7.9486517E+002, 6.8244061E+002
 3.1300000E+002, 8.0000032E-003, 7.9519946E+002, 6.8380457E+002
 3.1400000E+002, 8.0000032E-003, 7.9553278E+002, 6.8515729E+002
 3.1500000E+002, 8.0000032E-003, 7.9585986E+002, 6.8649908E+002
 3.1600000E+002, 8.0000032E-003, 7.9618671E+002, 6.8782977E+002
 3.1700000E+002, 8.0000032E-003, 7.9651172E+002, 6.8914948E+002
 3.1800000E+002, 8.0000032E-003, 7.9683380E+002, 6.9045837E+002
 3.1900000E+002, 8.0000032E-003, 7.9715375E+002, 6.9175647E+002
 3.2000000E+002, 8.0000032E-003, 7.9747327E+002, 6.9304388E+002
 3.2100000E+002, 8.0000032E-003, 7.9778589E+002, 6.9432068E+002
 3.2200000E+002, 8.0000032E-003, 7.9810034E+002, 6.9558710E+002
 3.2300000E+002, 8.0000032E-003, 7.9841150E+002, 6.9684302E+002
 3.2400000E+002, 8.0000032E-003, 7.9872058E+002, 6.9808862E+002
 3.2500000E+002, 8.0000032E-003, 7.9902759E+002, 6.9932385E+002
 3.2600000E+002, 8.0000032E-003, 7.9933124E+002, 7.0054889E+002
 3.2700000E+002, 8.0000032E-003, 7.9963318E+002, 7.0176385E+002
 3.2800000E+002, 8.0000032E-003, 7.9993347E+002, 7.0296881E+002
 3.2900000E+002, 8.0000032E-003, 8.0023309E+002, 7.0416370E+002
 3.3000000E+002, 8.0000032E-003, 8.0052625E+002, 7.0534875E+002
 3.3100000E+002, 8.0000032E-003, 8.0082050E+002, 7.0652399E+002
 3.3200000E+002, 8.0000032E-003, 8.0111163E+002, 7.0768964E+002
 3.3300000E+002, 8.0000032E-003, 8.0140210E+002, 7.0884558E+002
 3.3400000E+002, 8.0000032E-003, 8.0168646E+002, 7.0999194E+002
 3.3500000E+002, 8.0000032E-003, 8.0197339E+002, 7.1112885E+002
 3.3600000E+002, 8.0000032E-003, 8.0225574E+002, 7.1225623E+002
 3.3700000E+002, 8.0000032E-003, 8.0253540E+002, 7.1337427E+002
 3.3800000E+002, 8.0000032E-003, 8.0281604E+002, 7.1448303E+002
 3.3900000E+002, 8.0000032E-003, 8.0309204E+002, 7.1558276E+002
 3.4000000E+002, 8.0000032E-003, 8.0336737E+002, 7.1667310E+002
 3.4100000E+002, 8.0000032E-003, 8.0363855E+002, 7.1775452E+002
 3.4200000E+002, 8.0000032E-003, 8.0390967E+002, 7.1882697E+002
 3.4300000E+002, 8.0000032E-003, 8.0417828E+002, 7.1989044E+002
 3.4400000E+002, 8.0000032E-003, 8.0444489E+002, 7.2094501E+002
 3.4500000E+002, 8.0000032E-003, 8.0470935E+002, 7.2199097E+002
 3.4600000E+002, 8.0000032E-003, 8.0497229E+002, 7.2302808E+002
