s,m,C,C
Time,"Wall thickness","Wall_temperature","Back_wall_temperature"
 1.3500000E+002, 8.0000004E-003, 1.3847755E+002, 6.1635551E+001
 1.3600000E+002, 8.0000004E-003, 1.3883168E+002, 6.2078583E+001
 1.3700000E+002, 8.0000004E-003, 1.3918459E+002, 6.2521679E+001
 1.3800000E+002, 8.0000004E-003, 1.3953653E+002, 6.2964832E+001
 1.3900000E+002, 8.0000004E-003, 1.3988686E+002, 6.3408005E+001
 1.4000000E+002, 8.0000004E-003, 1.4023611E+002, 6.3851219E+001
 1.4100000E+002, 8.0000004E-003, 1.4058414E+002, 6.4294365E+001
 1.4200000E+002, 8.0000004E-003, 1.4093097E+002, 6.4737465E+001
 1.4300000E+002, 8.0000004E-003, 1.4127670E+002, 6.5180496E+001
 1.4400000E+002, 8.0000004E-003, 1.4162177E+002, 6.5623451E+001
 1.4500000E+002, 8.0000004E-003, 1.4196539E+002, 6.6066322E+001
 1.4600000E+002, 8.0000004E-003, 1.4230821E+002, 6.6509087E+001
 1.4700000E+002, 8.0000004E-003, 1.4264952E+002, 6.6951729E+001
 1.4800000E+002, 8.0000004E-003, 1.4298979E+002, 6.7394257E+001
 1.4900000E+002, 8.0000004E-003, 1.4332916E+002, 6.7836662E+001
 1.5000000E+002, 8.0000004E-003, 1.4366753E+002, 6.8278893E+001
 1.5100000E+002, 8.0000004E-003, 1.4400475E+002, 6.8720901E+001
 1.5200000E+002, 8.0000004E-003, 1.4434097E+002, 6.9162704E+001
 1.5300000E+002, 8.0000004E-003, 1.4467697E+002, 6.9604294E+001
 1.5400000E+002, 8.0000004E-003, 1.4501135E+002, 7.0045662E+001
 1.5500000E+002, 8.0000004E-003, 1.4534480E+002, 7.0486794E+001
 1.5600000E+002, 8.0000004E-003, 1.4567719E+002, 7.0927681E+001
 1.5700000E+002, 8.0000004E-003, 1.4600858E+002, 7.1368340E+001
 1.5800000E+002, 8.0000004E-003, 1.4633910E+002, 7.1808731E+001
 1.5900000E+002, 8.0000004E-003, 1.4666881E+002, 7.2248871E+001
 1.6000000E+002, 8.0000004E-003, 1.4699796E+002, 7.2688683E+001
 1.6100000E+002, 8.0000004E-003, 1.4732628E+002, 7.3128166E+001
 1.6200000E+002, 8.0000004E-003, 1.4765341E+002, 7.3567329E+001
 1.6300000E+002, 8.0000004E-003, 1.4797955E+002, 7.4006165E+001
 1.6400000E+002, 8.0000004E-003, 1.4830481E+002, 7.4444664E+001
 1.6500000E+002, 8.0000004E-003, 1.4862947E+002, 7.4882820E+001
 1.6600000E+002, 8.0000004E-003, 1.4895293E+002, 7.5320633E+001
 1.6700000E+002, 8.0000004E-003, 1.4927568E+002, 7.5758087E+001
 1.6800000E+002, 8.0000004E-003, 1.4959814E+002, 7.6195190E+001
 1.6900000E+002, 8.0000004E-003, 1.4991948E+002, 7.6631950E+001
 1.7000000E+002, 8.0000004E-003, 1.5023990E+002, 7.7068306E+001
 1.7100000E+002, 8.0000004E-003, 1.5055969E+002, 7.7504227E+001
 1.7200000E+002, 8.0000004E-003, 1.5087828E+002, 7.7939743E+001
 1.7300000E+002, 8.0000004E-003, 1.5119618E+002, 7.8374832E+001
 1.7400000E+002, 8.0000004E-003, 1.5151372E+002, 7.8809502E+001
 1.7500000E+002, 8.0000004E-003, 1.5183029E+002, 7.9243752E+001
 1.7600000E+002, 8.0000004E-003, 1.5214648E+002, 7.9677567E+001
 1.7700000E+002, 8.0000004E-003, 1.5246141E+002, 8.0110947E+001
 1.7800000E+002, 8.0000004E-003, 1.5277554E+002, 8.0543884E+001
 1.7900000E+002, 8.0000004E-003, 1.5308937E+002, 8.0976387E+001
 1.8000000E+002, 8.0000004E-003, 1.5340210E+002, 8.1408455E+001
 1.8100000E+002, 8.0000004E-003, 1.5371428E+002, 8.1840118E+001
 1.8200000E+002, 8.0000004E-003, 1.5402551E+002, 8.2271263E+001
 1.8300000E+002, 8.0000004E-003, 1.5433614E+002, 8.2701912E+001
 1.8400000E+002, 8.0000004E-003, 1.5464598E+002, 8.3132065E+001
 1.8500000E+002, 8.0000004E-003, 1.5495590E+002, 8.3561729E+001
 1.8600000E+002, 8.0000004E-003, 1.5526437E+002, 8.3990898E+001
 1.8700000E+002, 8.0000004E-003, 1.5557210E+002, 8.4419571E+001
 1.8800000E+002, 8.0000004E-003, 1.5587923E+002, 8.4847740E+001
 1.8900000E+002, 8.0000004E-003, 1.5618565E+002, 8.5275406E+001
 1.9000000E+002, 8.0000004E-003, 1.5649202E+002, 8.5702553E+001
 1.9100000E+002, 8.0000004E-003, 1.5679709E+002, 8.6129196E+001
 1.9200000E+002, 8.0000004E-003, 1.5710150E+002, 8.6555328E+001
 1.9300000E+002, 8.0000004E-003, 1.5740518E+002, 8.6980949E+001
 1.9400000E+002, 8.0000004E-003, 1.5770863E+002, 8.7406067E+001
 1.9500000E+002, 8.0000004E-003, 1.5801151E+002, 8.7830757E+001
 1.9600000E+002, 8.0000004E-003, 1.5831339E+002, 8.8254906E+001
 1.9700000E+002, 8.0000004E-003, 1.5861452E+002, 8.8678490E+001
 1.9800000E+002, 8.0000004E-003, 1.5891527E+002, 8.9101532E+001
 1.9900000E+002, 8.0000004E-003, 1.5921497E+002, 8.9524017E+001
 2.0000000E+002, 8.0000004E-003, 1.5951466E+002, 8.9945953E+001
 2.0100000E+002, 8.0000004E-003, 1.5981345E+002, 9.0367332E+001
 2.0200000E+002, 8.0000004E-003, 1.6011172E+002, 9.0788162E+001
 2.0300000E+002, 8.0000004E-003, 1.6040901E+002, 9.1208435E+001
 2.0400000E+002, 8.0000004E-003, 1.6070612E+002, 9.1628151E+001
 2.0500000E+002, 8.0000004E-003, 1.6100243E+002, 9.2047302E+001
 2.0600000E+002, 8.0000004E-003, 1.6129839E+002, 9.2465897E+001
 2.0700000E+002, 8.0000004E-003, 1.6159322E+002, 9.2883919E+001
 2.0800000E+002, 8.0000004E-003, 1.6188744E+002, 9.3301376E+001
 2.0900000E+002, 8.0000004E-003, 1.6218152E+002, 9.3718269E+001
 2.1000000E+002, 8.0000004E-003, 1.6247508E+002, 9.4134590E+001
 2.1100000E+002, 8.0000004E-003, 1.6276768E+002, 9.4550339E+001
 2.1200000E+002, 8.0000004E-003, 1.6305963E+002, 9.4965508E+001
 2.1300000E+002, 8.0000004E-003, 1.6335132E+002, 9.5380104E+001
 2.1400000E+002, 8.0000004E-003, 1.6364236E+002, 9.5794113E+001
 2.1500000E+002, 8.0000004E-003, 1.6393259E+002, 9.6207550E+001
 2.1600000E+002, 8.0000004E-003, 1.6422232E+002, 9.6620415E+001
 2.1700000E+002, 8.0000004E-003, 1.6451172E+002, 9.7032715E+001
 2.1800000E+002, 8.0000004E-003, 1.6480052E+002, 9.7444420E+001
 2.1900000E+002, 8.0000004E-003, 1.6508826E+002, 9.7855545E+001
 2.2000000E+002, 8.0000004E-003, 1.6537556E+002, 9.8266075E+001
 2.2100000E+002, 8.0000004E-003, 1.6566312E+002, 9.8676003E+001
 2.2200000E+002, 8.0000004E-003, 1.6594936E+002, 9.9085342E+001
 2.2300000E+002, 8.0000004E-003, 1.6623495E+002, 9.9494095E+001
 2.2400000E+002, 8.0000004E-003, 1.6652003E+002, 9.9902260E+001
 2.2500000E+002, 8.0000004E-003, 1.6680525E+002, 1.0030982E+002
 2.2600000E+002, 8.0000004E-003, 1.6708923E+002, 1.0071679E+002
 2.2700000E+002, 8.0000004E-003, 1.6737267E+002, 1.0112315E+002
 2.2800000E+002, 8.0000004E-003, 1.6765553E+002, 1.0152892E+002
 2.2900000E+002, 8.0000004E-003, 1.6793851E+002, 1.0193407E+002
 2.3000000E+002, 8.0000004E-003, 1.6822028E+002, 1.0233863E+002
 2.3100000E+002, 8.0000004E-003, 1.6850148E+002, 1.0274258E+002
 2.3200000E+002, 8.0000004E-003, 1.6878232E+002, 1.0314593E+002
 2.3300000E+002, 8.0000004E-003, 1.6906282E+002, 1.0354867E+002
 2.3400000E+002, 8.0000004E-003, 1.6934254E+002, 1.0395081E+002
 2.3500000E+002, 8.0000004E-003, 1.6962178E+002, 1.0435233E+002
 2.3600000E+002, 8.0000004E-003, 1.6990019E+002, 1.0475326E+002
 2.3700000E+002, 8.0000004E-003, 1.7017859E+002, 1.0515358E+002
 2.3800000E+002, 8.0000004E-003, 1.7045616E+002, 1.0555329E+002
 2.3900000E+002, 8.0000004E-003, 1.7073332E+002, 1.0595239E+002
 2.4000000E+002, 8.0000004E-003, 1.7100952E+002, 1.0635088E+002
 2.4100000E+002, 8.0000004E-003, 1.7128575E+002, 1.0674876E+002
 2.4200000E+002, 8.0000004E-003, 1.7156146E+002, 1.0714603E+002
 2.4300000E+002, 8.0000004E-003, 1.7183612E+002, 1.0754266E+002
 2.4400000E+002, 8.0000004E-003, 1.7211070E+002, 1.0793869E+002
 2.4500000E+002, 8.0000004E-003, 1.7238487E+002, 1.0833411E+002
 2.4600000E+002, 8.0000004E-003, 1.7265810E+002, 1.0872891E+002
 2.4700000E+002, 8.0000004E-003, 1.7293071E+002, 1.0912311E+002
 2.4800000E+002, 8.0000004E-003, 1.7320317E+002, 1.0951669E+002
 2.4900000E+002, 8.0000004E-003, 1.7347516E+002, 1.0990966E+002
 2.5000000E+002, 8.0000004E-003, 1.7374631E+002, 1.1030202E+002
 2.5100000E+002, 8.0000004E-003, 1.7401732E+002, 1.1069377E+002
 2.5200000E+002, 8.0000004E-003, 1.7428767E+002, 1.1108489E+002
 2.5300000E+002, 8.0000004E-003, 1.7455722E+002, 1.1147539E+002
 2.5400000E+002, 8.0000004E-003, 1.7482640E+002, 1.1186526E+002
 2.5500000E+002, 8.0000004E-003, 1.7509554E+002, 1.1225454E+002
 2.5600000E+002, 8.0000004E-003, 1.7536362E+002, 1.1264319E+002
 2.5700000E+002, 8.0000004E-003, 1.7563127E+002, 1.1303123E+002
 2.5800000E+002, 8.0000004E-003, 1.7589891E+002, 1.1341863E+002
 2.5900000E+002, 8.0000004E-003, 1.7616539E+002, 1.1380543E+002
 2.6000000E+002, 8.0000004E-003, 1.7643149E+002, 1.1419163E+002
 2.6100000E+002, 8.0000004E-003, 1.7669768E+002, 1.1457719E+002
 2.6200000E+002, 8.0000004E-003, 1.7696271E+002, 1.1496216E+002
 2.6300000E+002, 8.0000004E-003, 1.7722723E+002, 1.1534650E+002
 2.6400000E+002, 8.0000004E-003, 1.7749146E+002, 1.1573022E+002
 2.6500000E+002, 8.0000004E-003, 1.7775526E+002, 1.1611333E+002
 2.6600000E+002, 8.0000004E-003, 1.7801837E+002, 1.1649582E+002
 2.6700000E+002, 8.0000004E-003, 1.7828119E+002, 1.1687769E+002
 2.6800000E+002, 8.0000004E-003, 1.7854352E+002, 1.1725895E+002
 2.6900000E+002, 8.0000004E-003, 1.7880511E+002, 1.1763959E+002
 2.7000000E+002, 8.0000004E-003, 1.7906635E+002, 1.1801960E+002
 2.7100000E+002, 8.0000004E-003, 1.7932718E+002, 1.1839899E+002
 2.7200000E+002, 8.0000004E-003, 1.7958736E+002, 1.1877777E+002
 2.7300000E+002, 8.0000004E-003, 1.7984708E+002, 1.1915594E+002
 2.7400000E+002, 8.0000004E-003, 1.8010646E+002, 1.1953349E+002
 2.7500000E+002, 8.0000004E-003, 1.8036523E+002, 1.1991042E+002
 2.7600000E+002, 8.0000004E-003, 1.8062352E+002, 1.2028671E+002
 2.7700000E+002, 8.0000004E-003, 1.8088133E+002, 1.2066241E+002
 2.7800000E+002, 8.0000004E-003, 1.8113860E+002, 1.2103748E+002
 2.7900000E+002, 8.0000004E-003, 1.8139551E+002, 1.2141190E+002
 2.8000000E+002, 8.0000004E-003, 1.8165186E+002, 1.2178574E+002
 2.8100000E+002, 8.0000004E-003, 1.8190767E+002, 1.2215895E+002
 2.8200000E+002, 8.0000004E-003, 1.8216313E+002, 1.2253156E+002
 2.8300000E+002, 8.0000004E-003, 1.8241803E+002, 1.2290356E+002
 2.8400000E+002, 8.0000004E-003, 1.8267259E+002, 1.2327495E+002
 2.8500000E+002, 8.0000004E-003, 1.8292630E+002, 1.2364571E+002
 2.8600000E+002, 8.0000004E-003, 1.8317984E+002, 1.2401585E+002
 2.8700000E+002, 8.0000004E-003, 1.8343295E+002, 1.2438538E+002
 2.8800000E+002, 8.0000004E-003, 1.8368524E+002, 1.2475430E+002
 2.8900000E+002, 8.0000004E-003, 1.8393733E+002, 1.2512260E+002
 2.9000000E+002, 8.0000004E-003, 1.8418889E+002, 1.2549027E+002
 2.9100000E+002, 8.0000004E-003, 1.8443967E+002, 1.2585734E+002
 2.9200000E+002, 8.0000004E-003, 1.8469041E+002, 1.2622378E+002
 2.9300000E+002, 8.0000004E-003, 1.8494058E+002, 1.2658961E+002
 2.9400000E+002, 8.0000004E-003, 1.8518994E+002, 1.2695483E+002
 2.9500000E+002, 8.0000004E-003, 1.8543951E+002, 1.2731945E+002
 2.9600000E+002, 8.0000004E-003, 1.8568797E+002, 1.2768345E+002
 2.9700000E+002, 8.0000004E-003, 1.8593600E+002, 1.2804684E+002
 2.9800000E+002, 8.0000004E-003, 1.8618414E+002, 1.2840962E+002
 2.9900000E+002, 8.0000004E-003, 1.8643120E+002, 1.2877180E+002
 3.0000000E+002, 8.0000004E-003, 1.8667780E+002, 1.2913336E+002
 3.0100000E+002, 8.0000004E-003, 1.8692448E+002, 1.2949431E+002
 3.0200000E+002, 8.0000004E-003, 1.8717014E+002, 1.2985464E+002
 3.0300000E+002, 8.0000004E-003, 1.8741556E+002, 1.3021434E+002
 3.0400000E+002, 8.0000004E-003, 1.8766054E+002, 1.3057346E+002
 3.0500000E+002, 8.0000004E-003, 1.8790489E+002, 1.3093195E+002
 3.0600000E+002, 8.0000004E-003, 1.8814891E+002, 1.3128984E+002
 3.0700000E+002, 8.0000004E-003, 1.8839250E+002, 1.3164714E+002
 3.0800000E+002, 8.0000004E-003, 1.8863568E+002, 1.3200383E+002
 3.0900000E+002, 8.0000004E-003, 1.8887839E+002, 1.3235989E+002
 3.1000000E+002, 8.0000004E-003, 1.8912044E+002, 1.3271535E+002
 3.1100000E+002, 8.0000004E-003, 1.8936214E+002, 1.3307019E+002
 3.1200000E+002, 8.0000004E-003, 1.8960342E+002, 1.3342442E+002
 3.1300000E+002, 8.0000004E-003, 1.8984407E+002, 1.3377806E+002
 3.1400000E+002, 8.0000004E-003, 1.9008434E+002, 1.3413107E+002
 3.1500000E+002, 8.0000004E-003, 1.9032423E+002, 1.3448352E+002
 3.1600000E+002, 8.0000004E-003, 1.9056371E+002, 1.3483534E+002
 3.1700000E+002, 8.0000004E-003, 1.9080266E+002, 1.3518657E+002
 3.1800000E+002, 8.0000004E-003, 1.9104103E+002, 1.3553719E+002
 3.1900000E+002, 8.0000004E-003, 1.9127907E+002, 1.3588719E+002
 3.2000000E+002, 8.0000004E-003, 1.9151663E+002, 1.3623660E+002
 3.2100000E+002, 8.0000004E-003, 1.9175381E+002, 1.3658539E+002
 3.2200000E+002, 8.0000004E-003, 1.9199019E+002, 1.3693358E+002
 3.2300000E+002, 8.0000004E-003, 1.9222647E+002, 1.3728119E+002
 3.2400000E+002, 8.0000004E-003, 1.9246228E+002, 1.3762819E+002
 3.2500000E+002, 8.0000004E-003, 1.9269763E+002, 1.3797458E+002
 3.2600000E+002, 8.0000004E-003, 1.9293263E+002, 1.3832037E+002
 3.2700000E+002, 8.0000004E-003, 1.9316679E+002, 1.3866557E+002
 3.2800000E+002, 8.0000004E-003, 1.9340079E+002, 1.3901015E+002
 3.2900000E+002, 8.0000004E-003, 1.9363438E+002, 1.3935414E+002
 3.3000000E+002, 8.0000004E-003, 1.9386717E+002, 1.3969753E+002
 3.3100000E+002, 8.0000004E-003, 1.9410001E+002, 1.4004033E+002
 3.3200000E+002, 8.0000004E-003, 1.9433194E+002, 1.4038252E+002
 3.3300000E+002, 8.0000004E-003, 1.9456400E+002, 1.4072412E+002
 3.3400000E+002, 8.0000004E-003, 1.9479495E+002, 1.4106514E+002
 3.3500000E+002, 8.0000004E-003, 1.9502559E+002, 1.4140555E+002
 3.3600000E+002, 8.0000004E-003, 1.9525627E+002, 1.4174536E+002
 3.3700000E+002, 8.0000004E-003, 1.9548596E+002, 1.4208458E+002
 3.3800000E+002, 8.0000004E-003, 1.9571582E+002, 1.4242320E+002
 3.3900000E+002, 8.0000004E-003, 1.9594458E+002, 1.4276123E+002
 3.4000000E+002, 8.0000004E-003, 1.9617299E+002, 1.4309868E+002
 3.4100000E+002, 8.0000004E-003, 1.9640150E+002, 1.4343553E+002
 3.4200000E+002, 8.0000004E-003, 1.9662892E+002, 1.4377177E+002
 3.4300000E+002, 8.0000004E-003, 1.9685649E+002, 1.4410742E+002
 3.4400000E+002, 8.0000004E-003, 1.9708315E+002, 1.4444249E+002
 3.4500000E+002, 8.0000004E-003, 1.9730956E+002, 1.4477698E+002
 3.4600000E+002, 8.0000004E-003, 1.9753551E+002, 1.4511086E+002
