Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
798,30202.9128,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
799,30233.9681,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
800,30265.4328,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
801,30297.5831,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
802,30327.8526,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
803,30358.5115,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
804,30390.4106,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
805,30419.9595,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
806,30452.4261,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
807,30483.1901,1.29e+16,1.0,0.0,2505.3363127013367,531.8533364760447,1.58e+05,731246.6943495539,3674.9414558741673,0.0,1.684236942961547e-06,0.7338086749851456,0.6968630614934135,0.5929667049340666,0.6746354041485763,0.5233302493830931,1.9084462599941827,0.0,1683.0,1235.0,
