Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
262,17159.6081,8.28e+15,1.0,0.0,1856.923683831975,2554.208413365286,1.63e+05,991037.8674819735,22341.13582185618,100000000.0,9.692286805324454e-07,0.7338086749851456,0.621186036070708,0.8460002495993998,0.5540906603079866,0.18765215060671375,2.122545657627933,0.0,1683.0,1235.0,
263,17264.1699,8.28e+15,1.0,0.0,1853.9242709155692,2568.0780607436864,1.62e+05,991257.4880916541,22536.714351060502,100000000.0,9.655323110389111e-07,0.7338086749851456,0.6202441047143539,0.8464401806958226,0.5532567853349704,0.18795898595782737,2.1234269639654917,0.0,1683.0,1235.0,
264,17362.3822,8.28e+15,1.0,0.0,1857.3094611670203,2562.803848232721,1.62e+05,992813.390841706,22347.818244278402,100000000.0,9.654108085757e-07,0.7338086749851456,0.6211199488459256,0.8472310352619339,0.5545229495045771,0.1879970735430495,2.1237794614257535,0.0,1683.0,1235.0,
265,17469.0918,8.24e+15,1.0,0.0,1850.777040497514,2583.2742483811217,1.62e+05,994149.7783417852,22569.439406661833,100000000.0,9.611003041267877e-07,0.7338086749851456,0.6188724827270436,0.848877303717787,0.552265610044465,0.18855331029257555,2.125977542314266,0.0,1683.0,1235.0,
266,17575.4085,8.28e+15,1.0,0.0,1852.7484913179442,2575.5698821158276,1.62e+05,995120.0319223031,22500.622943228926,100000000.0,9.58501668668171e-07,0.7338086749851456,0.6192244735248893,0.8494642510191787,0.5528221290428683,0.1884280368065471,2.127234100923367,0.0,1683.0,1235.0,
267,17680.4063,8.28e+15,1.0,0.0,1852.7484913179442,2575.5698821158276,1.62e+05,995120.0319223031,22500.622943228926,100000000.0,9.58501668668171e-07,0.7338086749851456,0.6192244735248893,0.8494642510191787,0.5528221290428683,0.1884280368065471,2.127234100923367,0.0,1683.0,1235.0,
268,17788.6153,8.28e+15,1.0,0.0,1852.7484913179442,2575.5698821158276,1.62e+05,995120.0319223031,22500.622943228926,100000000.0,9.58501668668171e-07,0.7338086749851456,0.6192244735248893,0.8494642510191787,0.5528221290428683,0.1884280368065471,2.127234100923367,0.0,1683.0,1235.0,
269,17897.0942,8.27e+15,1.0,0.0,1854.9693109253458,2570.3673495343623,1.62e+05,995294.2489828274,22396.975299210062,100000000.0,9.559202482526028e-07,0.7338086749851456,0.619927225409926,0.8494259145562731,0.5534964821424977,0.18835841858515626,2.1286473446507266,0.0,1683.0,1235.0,
270,17984.6462,8.27e+15,1.0,0.0,1854.9693109253458,2570.3673495343623,1.62e+05,995294.2489828274,22396.975299210062,100000000.0,9.559202482526028e-07,0.7338086749851456,0.619927225409926,0.8494259145562731,0.5534964821424977,0.18835841858515626,2.1286473446507266,0.0,1683.0,1235.0,
271,18053.1126,8.27e+15,1.0,0.0,1855.2081960638875,2577.339318750354,1.62e+05,996024.9191780437,22417.168653664325,100000000.0,9.537569601779866e-07,0.7338086749851456,0.6196551626427615,0.8499389689981846,0.5535560618131925,0.18854087019767057,2.1289453315794846,0.0,1683.0,1235.0,
272,18118.5662,8.29e+15,1.0,0.0,1859.2967097523344,2561.8156320618486,1.62e+05,994699.6797115598,22280.327422539416,100000000.0,9.533625054685585e-07,0.7338086749851456,0.621054208806129,0.8486122556409436,0.5547663981039642,0.18808621012393723,2.1282862314455135,0.0,1683.0,1235.0,
273,18182.3105,8.28e+15,1.0,0.0,1862.0721616343158,2556.2869022587784,1.62e+05,994401.1306198926,22154.30536750659,100000000.0,9.518407627179501e-07,0.7338086749851456,0.6218713671645543,0.8481025720374888,0.5556530092013598,0.18795960233702153,2.1295400788951078,0.0,1683.0,1235.0,
274,18249.2544,8.27e+15,1.0,0.0,1860.3192468040527,2568.8582551600703,1.62e+05,995850.4616987132,22204.735925563633,100000000.0,9.493220325588481e-07,0.7338086749851456,0.6208986484049449,0.8492906797900728,0.5550851644289311,0.1883353592686674,2.1307151936024478,0.0,1683.0,1235.0,
275,18313.5230,8.29e+15,1.0,0.0,1868.9960273760582,2558.623248588531,1.62e+05,996669.507271894,21975.67847372928,100000000.0,9.439004346718126e-07,0.7338086749851456,0.6228610065578372,0.849173862160205,0.5576708613872579,0.18813035285681026,2.131912839437488,0.0,1683.0,1235.0,
276,18379.0016,8.31e+15,1.0,0.0,1874.6905513337083,2544.1435268107725,1.62e+05,997513.6096360377,21702.192285116253,100000000.0,9.423815830691664e-07,0.7338086749851456,0.6243435200191804,0.849245329991217,0.5595193851734217,0.18789421187642424,2.135591847139289,0.0,1683.0,1235.0,
277,18446.2729,8.34e+15,1.0,0.0,1881.079286417165,2538.9123795925375,1.62e+05,998952.2186158454,21498.640440190593,100000000.0,9.386066752307486e-07,0.7338086749851456,0.625484884532772,0.8498308691950027,0.5614422491724305,0.187807172801231,2.138617176470993,0.0,1683.0,1235.0,
278,18509.5605,8.34e+15,1.0,0.0,1881.079286417165,2538.9123795925375,1.62e+05,998952.2186158454,21498.640440190593,100000000.0,9.386066752307486e-07,0.7338086749851456,0.625484884532772,0.8498308691950027,0.5614422491724305,0.187807172801231,2.138617176470993,0.0,1683.0,1235.0,
279,18578.6334,8.32e+15,1.0,0.0,1881.9178924062214,2547.042730888935,1.62e+05,1000858.8470155164,21428.88579952213,100000000.0,9.3716852417091e-07,0.7338086749851456,0.6250731736076255,0.8511258836243313,0.5616285033399724,0.18812518426212826,2.1414511247319963,0.0,1683.0,1235.0,
280,18646.9826,8.34e+15,1.0,0.0,1882.6657697833655,2539.6092335806998,1.62e+05,1000296.9035839087,21444.270851910573,100000000.0,9.341867272932653e-07,0.7338086749851456,0.6254523022752725,0.8507451097480232,0.5618568185046173,0.18788026998017543,2.1405737571043275,0.0,1683.0,1235.0,
281,18718.2695,8.33e+15,1.0,0.0,1882.6043020428235,2553.5481332096438,1.62e+05,1002998.8001296779,21397.764262792483,100000000.0,9.331842008757764e-07,0.7338086749851456,0.6245862935553603,0.8527275966437932,0.5617944974171284,0.18836978128095466,2.1439217455834756,0.0,1683.0,1235.0,
282,18786.3249,8.35e+15,1.0,0.0,1879.8377547035486,2556.679711450429,1.62e+05,1004162.8494133311,21580.51320074325,100000000.0,9.303897518428516e-07,0.7338086749851456,0.6239384137039542,0.8539665974563685,0.5610107290465238,0.18852489424139218,2.141649445975645,0.0,1683.0,1235.0,
283,18858.4919,8.34e+15,1.0,0.0,1876.53103703863,2579.1202117517805,1.62e+05,1008313.8713636699,21624.221682348696,100000000.0,9.260847633149677e-07,0.7338086749851456,0.6218705443281356,0.8574067224079545,0.559949204099372,0.18927131064713712,2.145669400895941,0.0,1683.0,1235.0,
284,18935.5872,8.34e+15,1.0,0.0,1876.53103703863,2579.1202117517805,1.62e+05,1008313.8713636699,21624.221682348696,100000000.0,9.260847633149677e-07,0.7338086749851456,0.6218705443281356,0.8574067224079545,0.559949204099372,0.18927131064713712,2.145669400895941,0.0,1683.0,1235.0,
285,19006.1260,8.34e+15,1.0,0.0,1876.53103703863,2579.1202117517805,1.62e+05,1008313.8713636699,21624.221682348696,100000000.0,9.260847633149677e-07,0.7338086749851456,0.6218705443281356,0.8574067224079545,0.559949204099372,0.18927131064713712,2.145669400895941,0.0,1683.0,1235.0,
286,19073.3362,8.35e+15,1.0,0.0,1876.6780580662758,2582.260998063948,1.62e+05,1008924.122701893,21598.488558862,100000000.0,9.238231575133801e-07,0.7338086749851456,0.6216593903467599,0.8578215137636831,0.5600201313170298,0.18936545657548928,2.1462603301848686,0.0,1683.0,1235.0,
287,19150.0219,8.36e+15,1.0,0.0,1881.3170067280387,2578.538741404308,1.62e+05,1010538.1560268905,21450.60051979043,100000000.0,9.230849118862513e-07,0.7338086749851456,0.6224135811345073,0.8586529756033233,0.5613415593042599,0.18937497527567293,2.1487686429311035,0.0,1683.0,1235.0,
288,19212.0957,8.36e+15,1.0,0.0,1872.9402600512865,2597.638487030668,1.62e+05,1011954.5607572251,21751.48549902545,100000000.0,9.199808662212844e-07,0.7338086749851456,0.6199893132095677,0.8605001051315296,0.5588688088960586,0.18988773139796467,2.146407057825714,0.0,1683.0,1235.0,
289,19280.4355,8.36e+15,1.0,0.0,1872.9402600512865,2597.638487030668,1.62e+05,1011954.5607572251,21751.48549902545,100000000.0,9.199808662212844e-07,0.7338086749851456,0.6199893132095677,0.8605001051315296,0.5588688088960586,0.18988773139796467,2.146407057825714,0.0,1683.0,1235.0,
290,19343.7872,8.39e+15,1.0,0.0,1871.3298606227545,2619.818498308393,1.62e+05,1017956.965766265,21833.938996456178,100000000.0,9.192504798067651e-07,0.7338086749851456,0.6181131204081497,0.8652698236945134,0.5583609934439357,0.19073458337729937,2.149459027553257,0.0,1683.0,1235.0,
291,19409.6393,8.40e+15,1.0,0.0,1875.0965159368047,2617.1198547119384,1.62e+05,1018387.1156301701,21671.263878231504,100000000.0,9.15596541768096e-07,0.7338086749851456,0.6188077045123025,0.8651846087278768,0.5595116669938245,0.19068839161255713,2.1511546886910633,0.0,1683.0,1235.0,
292,19473.5309,8.40e+15,1.0,0.0,1875.0965159368047,2617.1198547119384,1.62e+05,1018387.1156301701,21671.263878231504,100000000.0,9.15596541768096e-07,0.7338086749851456,0.6188077045123025,0.8651846087278768,0.5595116669938245,0.19068839161255713,2.1511546886910633,0.0,1683.0,1235.0,
293,19542.5166,8.40e+15,1.0,0.0,1875.0965159368047,2617.1198547119384,1.62e+05,1018387.1156301701,21671.263878231504,100000000.0,9.15596541768096e-07,0.7338086749851456,0.6188077045123025,0.8651846087278768,0.5595116669938245,0.19068839161255713,2.1511546886910633,0.0,1683.0,1235.0,
294,19624.1432,8.42e+15,1.0,0.0,1878.8319353079955,2615.0588929290507,1.62e+05,1020277.1302054195,21492.485168648684,100000000.0,9.11969951843499e-07,0.7338086749851456,0.6191375932744898,0.8662162911576385,0.5606068775422137,0.1907538170987422,2.154481468798422,0.0,1683.0,1235.0,
295,19699.4461,8.42e+15,1.0,0.0,1877.4277732512592,2609.1293473851556,1.62e+05,1017041.782581925,21490.54090452144,100000000.0,9.078153060829278e-07,0.7338086749851456,0.6193577722766017,0.8637320018185701,0.5602273875492771,0.1904231384961102,2.15139491351923,0.0,1683.0,1235.0,
296,19782.3625,8.42e+15,1.0,0.0,1875.4521520096266,2641.838253700924,1.62e+05,1022420.1735514062,21404.500368445115,100000000.0,9.0762265746706e-07,0.7338086749851456,0.6169385856417553,0.867903618704818,0.5596357764146735,0.191412002653383,2.1580792399032886,0.0,1683.0,1235.0,
297,19860.3861,8.46e+15,1.0,0.0,1884.1372987392488,2606.415239263895,1.62e+05,1018777.8541427173,21066.42757173213,100000000.0,9.004162506384364e-07,0.7338086749851456,0.6199620770858414,0.8641463973555886,0.5622374844382954,0.19043525584530568,2.1568608763801667,0.0,1683.0,1235.0,
298,19939.6558,8.51e+15,1.0,0.0,1892.4244038290271,2613.509165565867,1.62e+05,1024175.9098341232,20653.17105118644,100000000.0,8.964789228956217e-07,0.7338086749851456,0.620198312059801,0.8672405245984085,0.5647328761332185,0.19089679541411564,2.1638712107188365,0.0,1683.0,1235.0,
