Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
83,30651.0590,4.51e+12,1.07e+14,2.05e+13,1.0,0.0,1048.5792263212074,2813.3528672752545,0.09558869763983134,0.2715980539598277,2.93e+05,1.86e+05,2.52e+05,250791.994800303,319955.8610364613,607964.9723518183,23682.13166923855,100000000.0,0.00011260306472918687,0.3372512655280274,0.44267551001927496,0.4889272834588933,0.9431941911063838,0.94,0.29297206957817545,0.22671393102062198,9.545329639144029e-05,0.0003484077893575722,1.3849890634513178,1.047207149593698,6.058106706949784,0.0,0.0,0.0,1683.0,1235.0,
84,30931.7250,4.52e+12,1.06e+14,2.05e+13,1.0,0.0,1048.5060959383918,2818.6576832308697,0.09574313657200333,0.2729177054633959,2.95e+05,1.86e+05,2.54e+05,250796.99533063406,320054.55598201964,608459.0388757403,23671.261540595668,100000000.0,0.00011260210203747117,0.33879128868556196,0.4426734786379278,0.4883783310825235,0.9431902995483369,0.94,0.2929497503335691,0.22662593327781566,9.550179061982786e-05,0.0003495015921858481,1.389272087156518,1.04602600404877,6.044955424724786,0.0,0.0,0.0,1683.0,1235.0,
85,31194.7710,4.52e+12,1.06e+14,2.04e+13,1.0,0.0,1048.7586622837362,2808.9397516566305,0.09572449387278104,0.2736079425711257,2.95e+05,1.86e+05,2.55e+05,251357.3167589711,320120.0305925311,611467.7904629387,23623.973912061625,100000000.0,0.00011260135430707733,0.34127458332584065,0.44267262417405007,0.4868584532818331,0.9432089393557017,0.94,0.2930932694282943,0.22621637432417524,9.52292439750585e-05,0.00034952734651599887,1.4017054301497531,1.0474835948937553,6.053654898188382,0.0,0.0,0.0,1683.0,1235.0,
86,31472.4220,4.52e+12,1.06e+14,2.05e+13,1.0,0.0,1048.4289018062912,2819.8757834738326,0.09581308237188965,0.27509030525332945,2.95e+05,1.86e+05,2.54e+05,250579.6952911077,320147.08584851195,609263.5401643089,23672.8426002223,100000000.0,0.00011260048725642223,0.34181292067634717,0.44267306688875924,0.48689338320274866,0.9431364635995543,0.94,0.29290393381427937,0.2266211937134799,9.557715664490628e-05,0.0003500793017442958,1.3890557721146295,1.0438858262548476,6.0105445748026645,0.0,0.0,0.0,1683.0,1235.0,
87,31731.8600,4.52e+12,1.05e+14,2.04e+13,1.0,0.0,1048.6169121245734,2817.617026322972,0.09595561800028096,0.277512080974525,2.96e+05,1.86e+05,2.55e+05,250711.03361936225,320298.8046639055,612860.9877215297,23633.205824651537,100000000.0,0.00011260019002864129,0.3444810889655147,0.4426748886243279,0.4859412610428145,0.9431104600410156,0.94,0.2930284063468195,0.22613185359737598,9.542406613929853e-05,0.00035143637022713985,1.4003784630282232,1.0457145379528863,6.012710526613869,0.0,0.0,0.0,1683.0,1235.0,
88,31983.0110,4.49e+12,1.05e+14,2.03e+13,1.0,0.0,1048.7545006850182,2807.481731847346,0.09524570891440795,0.2775653730383535,2.94e+05,1.86e+05,2.54e+05,249976.9129064079,320174.3189447362,616169.7715923436,23623.24922948877,100000000.0,0.00011259932160872172,0.34497122800019797,0.4426746153902402,0.4821057535960178,0.9430711417177529,0.94,0.2929706955563368,0.22534051677264555,9.554255982989444e-05,0.00035077849975209045,1.4115645927790244,1.0440427162701587,6.038456233340152,0.0,0.0,0.0,1683.0,1235.0,
89,32208.0190,4.50e+12,1.04e+14,2.03e+13,1.0,0.0,1048.5996473805626,2812.724389581949,0.09554176042966377,0.2801827558402217,2.95e+05,1.86e+05,2.55e+05,249312.39271759303,320215.24626595445,619715.9449816868,23620.63873727547,100000000.0,0.00011259842154650205,0.34947932686333616,0.44267088007316535,0.48055269410594664,0.9429891882653583,0.94,0.2930022757262701,0.22504562394496624,9.540468740155733e-05,0.00035231392211283947,1.412851203705044,1.044265027786234,6.002018573331075,0.0,0.0,0.0,1683.0,1235.0,
90,32428.5480,4.51e+12,1.03e+14,2.03e+13,1.0,0.0,1048.224686604176,2822.704958540703,0.09576109593979816,0.2856998290707857,2.98e+05,1.86e+05,2.57e+05,249889.17262684775,320220.29319385026,620499.5523707727,23631.72497110742,100000000.0,0.00011259670287429484,0.35523111638559735,0.4426744878949962,0.4789004318933223,0.9430500985008097,0.94,0.2928480821405709,0.22521111404748995,9.560925340778979e-05,0.0003536000823297979,1.4163389325248112,1.0408566010649118,5.929092448269161,0.0,0.0,0.0,1683.0,1235.0,
91,32655.3320,4.48e+12,1.02e+14,2.02e+13,1.0,0.0,1048.7548023047177,2800.2992274017815,0.09489460576478881,0.28840436750836773,2.95e+05,1.86e+05,2.55e+05,249205.84761140135,320071.62194522773,631930.3718267955,23558.372843507073,100000000.0,0.00011259511036013347,0.35689122269225293,0.44267634905595454,0.47225152788447,0.9431593465690058,0.94,0.2930254288066754,0.22298118758677477,9.529871979948988e-05,0.00035418866651304394,1.446408793768283,1.0441184017936052,5.994868982171481,0.0,0.0,0.0,1683.0,1235.0,
92,32884.5720,4.49e+12,1.01e+14,2.00e+13,1.0,0.0,1048.8968636511563,2796.9100764346995,0.09527555251294748,0.293934624699026,2.97e+05,1.85e+05,2.58e+05,249673.92276495887,320172.5048860798,638099.9773690554,23514.39554572559,100000000.0,0.00011259223497588513,0.36487532479455914,0.4426772341621809,0.4701507977491736,0.942910018897847,0.94,0.29327947335386606,0.22243983953431973,9.466503815205122e-05,0.0003556868959427769,1.4638944573245278,1.0479311101267845,5.9698318967137265,0.0,0.0,0.0,1683.0,1235.0,
