s,m,,1/s,W/m2/K,C,C
Time,"Wall thickness","mpua","mlrpua","Front HTC","Front T","Back T"
 7.2000000E+001, 7.9999985E-003, 9.9999958E-001, 4.9936901E-008, 1.5000000E+001, 2.3564589E+002, 5.6230549E+001
 7.3000000E+001, 7.9999985E-003, 9.9999952E-001, 5.5512952E-008, 1.5000000E+001, 2.3679878E+002, 5.7219170E+001
 7.4000000E+001, 7.9999976E-003, 9.9999946E-001, 6.1616895E-008, 1.5000000E+001, 2.3794090E+002, 5.8215420E+001
 7.5000000E+001, 7.9999976E-003, 9.9999940E-001, 6.8292280E-008, 1.5000000E+001, 2.3907199E+002, 5.9219025E+001
 7.6000000E+001, 7.9999976E-003, 9.9999928E-001, 7.5580850E-008, 1.5000000E+001, 2.4019279E+002, 6.0229641E+001
 7.7000000E+001, 7.9999967E-003, 9.9999923E-001, 8.3531795E-008, 1.5000000E+001, 2.4130339E+002, 6.1247002E+001
 7.8000000E+001, 7.9999967E-003, 9.9999911E-001, 9.2193737E-008, 1.5000000E+001, 2.4240393E+002, 6.2270782E+001
 7.9000000E+001, 7.9999957E-003, 9.9999905E-001, 1.0161862E-007, 1.5000000E+001, 2.4349474E+002, 6.3300747E+001
 8.0000000E+001, 7.9999957E-003, 9.9999893E-001, 1.1186296E-007, 1.5000000E+001, 2.4457655E+002, 6.4336586E+001
 8.1000000E+001, 7.9999948E-003, 9.9999881E-001, 1.2299037E-007, 1.5000000E+001, 2.4564951E+002, 6.5378021E+001
 8.2000000E+001, 7.9999948E-003, 9.9999863E-001, 1.3506373E-007, 1.5000000E+001, 2.4671281E+002, 6.6424828E+001
 8.3000000E+001, 7.9999939E-003, 9.9999851E-001, 1.4813986E-007, 1.5000000E+001, 2.4776753E+002, 6.7476723E+001
 8.4000000E+001, 7.9999939E-003, 9.9999833E-001, 1.6229652E-007, 1.5000000E+001, 2.4881378E+002, 6.8533493E+001
 8.5000000E+001, 7.9999929E-003, 9.9999815E-001, 1.7760897E-007, 1.5000000E+001, 2.4985075E+002, 6.9594887E+001
 8.6000000E+001, 7.9999920E-003, 9.9999797E-001, 1.9414072E-007, 1.5000000E+001, 2.5087930E+002, 7.0660637E+001
 8.7000000E+001, 7.9999911E-003, 9.9999774E-001, 2.1198159E-007, 1.5000000E+001, 2.5189960E+002, 7.1730568E+001
 8.8000000E+001, 7.9999901E-003, 9.9999756E-001, 2.3122003E-007, 1.5000000E+001, 2.5291080E+002, 7.2804436E+001
 8.9000000E+001, 7.9999892E-003, 9.9999726E-001, 2.5192699E-007, 1.5000000E+001, 2.5391423E+002, 7.3882011E+001
 9.0000000E+001, 7.9999883E-003, 9.9999702E-001, 2.7421612E-007, 1.5000000E+001, 2.5490840E+002, 7.4963127E+001
 9.1000000E+001, 7.9999864E-003, 9.9999672E-001, 2.9815766E-007, 1.5000000E+001, 2.5589453E+002, 7.6047577E+001
 9.2000000E+001, 7.9999855E-003, 9.9999636E-001, 3.2387044E-007, 1.5000000E+001, 2.5687189E+002, 7.7135162E+001
 9.3000000E+001, 7.9999845E-003, 9.9999601E-001, 3.5144569E-007, 1.5000000E+001, 2.5784109E+002, 7.8225647E+001
