Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
12,1981.2057,2.24e+12,9.40e+13,1.0,0.0,870.0857148086216,914.0983819779699,0.05234441496967032,0.3593526164923473,1.73e+05,2.62e+05,179249.8085821325,434454.1451698558,29353.12915006722,100000000.0,0.00041490789695757565,0.586344220311993,0.7563239697910689,0.7989913379332456,0.94,0.25457214130249756,0.0867072403243813,3.660620323381299e-05,0.0003917121919580856,1.4544458221404866,2.4079213292087323,0.0,0.0,1683.0,1235.0,
13,2144.8949,2.37e+12,9.91e+13,1.0,0.0,910.3000215092416,1011.1095333214577,0.04704864395255388,0.34856612847766616,1.74e+05,3.24e+05,179404.8373968813,452830.282509914,29167.120410813775,100000000.0,0.0003434596439831236,0.5788500541902595,0.7916429898544741,0.8326865627207879,0.94,0.2565899577033778,0.08930765456395964,3.5842201686365607e-05,0.00040299252216710276,1.4061072138436157,2.520676034600462,0.0,0.0,1683.0,1235.0,
14,2304.6929,2.33e+12,9.60e+13,1.0,0.0,918.4965872695866,1057.4722650396895,0.04605740933027744,0.3562155135452981,1.74e+05,3.26e+05,178879.08345914783,449479.82646031573,29202.629843064773,100000000.0,0.0003030092009943892,0.5827631330383947,0.7872855492639087,0.8391079168599022,0.94,0.2681600450868457,0.09147704395949907,3.488845417598536e-05,0.00040564756302807737,1.3682709707150826,2.3897006335135744,0.0,0.0,1683.0,1235.0,
15,2457.2250,2.46e+12,9.35e+13,1.0,0.0,883.1187873624326,1025.3091836915428,0.05313416656836287,0.38386455491550975,1.74e+05,2.95e+05,174147.8192950272,434959.2001021999,29113.091887467395,100000000.0,0.00028045930780727955,0.578734141934843,0.7520605689944718,0.8064223093391181,0.94,0.2649217847192138,0.08134331700464136,3.265853871848643e-05,0.0003694596057052135,1.515619823609868,2.241520015776,0.0,0.0,1683.0,1235.0,
16,2618.2783,2.08e+12,9.21e+13,1.0,0.0,910.0048444272354,1036.5581845239158,0.03723763013775255,0.312154786131247,1.73e+05,3.05e+05,178862.39129725756,401603.32095321035,31037.82939528658,100000000.0,0.00023084398493577522,0.579266706785609,0.8188346976831575,0.822139313800907,0.94,0.26756046731339433,0.08146900614052362,3.0566924238312814e-05,0.0003782350028867915,1.3311858357907118,2.2502697655140658,0.0,0.0,1683.0,1235.0,
17,2771.9141,1.89e+12,8.67e+13,1.0,0.0,925.7825992681417,1119.803457329282,0.02933562438210726,0.2916156301237449,1.73e+05,3.06e+05,174404.4933388218,376721.376656976,32314.47183967055,100000000.0,0.00016365386005144292,0.5821220303895924,0.8503372355071006,0.8300585309441035,0.94,0.2723907612104405,0.08125612999399012,2.5482107765103547e-05,0.0003701200031288238,1.2369158668655809,2.039770071238996,0.0,0.0,1683.0,1235.0,
18,2927.0479,1.57e+12,8.12e+13,1.0,0.0,936.3079089649316,1105.6999436066942,0.019815380603386674,0.2584613477194213,1.72e+05,2.87e+05,170654.61825609644,334709.13205301476,33599.16487390266,100000000.0,0.00014152559315751314,0.5820579197265607,0.8698006006439523,0.8307323933197845,0.94,0.27917912809967266,0.0719300697524746,2.1705624885973986e-05,0.0003446537094682358,1.1503885037022923,1.7704608082189397,0.0,0.0,1683.0,1235.0,
19,3082.7823,1.60e+12,7.99e+13,1.0,0.0,935.9454865886138,1115.832004963562,0.019650862374321648,0.2581517799203319,1.72e+05,2.88e+05,169806.51252392883,328672.0227096459,33868.94359937583,100000000.0,0.00012955774758847274,0.5814174589349099,0.8723084759284168,0.8310177228469066,0.94,0.2776902332832232,0.07269464205519124,2.1352225716620303e-05,0.00034525675152880794,1.1187980188527864,1.7601485466840585,0.0,0.0,1683.0,1235.0,
20,3244.9384,1.70e+12,7.99e+13,1.0,0.0,931.5266343459755,1089.1115880506877,0.023059103619972335,0.2642087951299397,1.73e+05,2.85e+05,167555.784158413,329217.51047887024,33780.850909089335,100000000.0,0.00011453713959135481,0.5816257297235881,0.8579407523335788,0.8300062440030715,0.94,0.2755661489494748,0.06959286571789303,2.0609203872522575e-05,0.0003369391465444081,1.1487951699125345,1.7615938012279049,0.0,0.0,1683.0,1235.0,
21,3405.7929,1.71e+12,8.05e+13,1.0,0.0,940.4590677316113,1072.945952409402,0.02282654046340578,0.26640349423346454,1.72e+05,2.92e+05,167996.94970834162,333879.76960550144,33727.56196963978,100000000.0,0.0001083057536407398,0.5823735829035378,0.8603853661773049,0.8361564079548707,0.94,0.27645066527957285,0.07049087712083288,2.1450996720818788e-05,0.0003411386496103294,1.1360376695138847,1.8452220908932164,0.0,0.0,1683.0,1235.0,
22,3573.9484,1.62e+12,7.47e+13,1.0,0.0,967.9455410432932,1089.1719324552023,0.01845414231702517,0.26551940707727234,1.72e+05,3.06e+05,167344.05948164663,332426.04821332725,34517.551069143505,100000000.0,9.603564363457066e-05,0.5822221219775647,0.879963036473399,0.8543944030829134,0.94,0.2874515417565837,0.0680567061170456,1.887455422604709e-05,0.0003400716038248565,1.1404274770457374,1.8226686831719365,0.0,0.0,1683.0,1235.0,
23,3733.2926,1.50e+12,6.85e+13,1.0,0.0,1003.8994277012142,1087.4730827364583,0.013352463203851021,0.24919493753243827,1.72e+05,3.19e+05,166830.68623579782,332571.00639889145,35884.60068796124,100000000.0,8.122277669041718e-05,0.5823079494669581,0.910191242320529,0.8788527450998324,0.94,0.29858368973797245,0.06387827698679094,1.725729993911134e-05,0.00034254215122924347,1.1439924556277186,1.7836803068974207,0.0,0.0,1683.0,1235.0,
24,3896.3346,1.49e+12,6.56e+13,1.0,0.0,1023.4234199792018,1071.2541704262608,0.012686341121801052,0.25476873637450936,1.72e+05,3.30e+05,167514.25312912223,340646.8166065655,36107.57595228725,100000000.0,7.546406531379624e-05,0.5820700959008513,0.9161071847660167,0.8935119894943281,0.94,0.3043687961402759,0.062460281366473025,1.6809886467510685e-05,0.00034502414355383254,1.1682932384938343,1.8349588186076482,0.0,0.0,1683.0,1235.0,
