# Time [s], Convective Heat Transfer Coefficient [W/m2K]
3.520000000000000000e+02,1.035495699221819699e+01
3.530000000000000000e+02,1.035642045991988880e+01
3.540000000000000000e+02,1.035788209569295582e+01
3.550000000000000000e+02,1.035934364630960225e+01
3.560000000000000000e+02,1.036080445748845769e+01
3.570000000000000000e+02,1.036226420274129900e+01
3.580000000000000000e+02,1.036372386380103094e+01
3.590000000000000000e+02,1.036518311380958579e+01
3.600000000000000000e+02,1.036664206198266491e+01
3.610000000000000000e+02,1.036810081741306711e+01
3.620000000000000000e+02,1.036955981566631735e+01
3.630000000000000000e+02,1.037101872997618912e+01
3.640000000000000000e+02,1.037247799557140837e+01
3.650000000000000000e+02,1.037393772087108879e+01
3.660000000000000000e+02,1.037539747045877014e+01
3.670000000000000000e+02,1.037685811395279423e+01
3.680000000000000000e+02,1.037831965054060213e+01
3.690000000000000000e+02,1.037978110155234468e+01
3.700000000000000000e+02,1.038124377044532487e+01
3.710000000000000000e+02,1.038270776472189283e+01
3.720000000000000000e+02,1.038417199761323495e+01
3.730000000000000000e+02,1.038563777119959930e+01
3.740000000000000000e+02,1.038710443313226506e+01
3.750000000000000000e+02,1.038857230800154419e+01
3.760000000000000000e+02,1.039004150315726172e+01
3.770000000000000000e+02,1.039151223423226078e+01
3.780000000000000000e+02,1.039298428311388101e+01
3.790000000000000000e+02,1.039445775696780672e+01
3.800000000000000000e+02,1.039593287115027032e+01
3.810000000000000000e+02,1.039740951592314389e+01
3.820000000000000000e+02,1.039888812293087739e+01
3.830000000000000000e+02,1.040036858221912297e+01
3.840000000000000000e+02,1.040185024300471994e+01
3.850000000000000000e+02,1.040333418579552749e+01
3.860000000000000000e+02,1.040482062483590120e+01
3.870000000000000000e+02,1.040630826075496351e+01
3.880000000000000000e+02,1.040779817313254973e+01
3.890000000000000000e+02,1.040929057602439656e+01
3.900000000000000000e+02,1.041078460319011789e+01
3.910000000000000000e+02,1.041228111695930814e+01
3.920000000000000000e+02,1.041378011512659363e+01
3.930000000000000000e+02,1.041528105592775511e+01
3.940000000000000000e+02,1.041678458490319414e+01
3.950000000000000000e+02,1.041829048405145031e+01
3.960000000000000000e+02,1.041979907470847344e+01
3.970000000000000000e+02,1.042130970775404819e+01
3.980000000000000000e+02,1.042282335114705738e+01
3.990000000000000000e+02,1.042433903268571171e+01
4.000000000000000000e+02,1.042585761206953698e+01
4.010000000000000000e+02,1.042737940968609323e+01
4.020000000000000000e+02,1.042890334635641736e+01
4.030000000000000000e+02,1.043043017332826494e+01
4.040000000000000000e+02,1.043196010313194577e+01
4.050000000000000000e+02,1.043349227269186486e+01
4.060000000000000000e+02,1.043502786250698655e+01
4.070000000000000000e+02,1.043656622466169637e+01
4.080000000000000000e+02,1.043810724919819499e+01
4.090000000000000000e+02,1.043965168554938749e+01
4.100000000000000000e+02,1.044119888636209659e+01
4.110000000000000000e+02,1.044274895645595436e+01
4.120000000000000000e+02,1.044430242977113288e+01
4.130000000000000000e+02,1.044585908864171309e+01
4.140000000000000000e+02,1.044741860840563064e+01
4.150000000000000000e+02,1.044898152251451684e+01
4.160000000000000000e+02,1.045054761348461447e+01
4.170000000000000000e+02,1.045211677123804606e+01
4.180000000000000000e+02,1.045368942142245139e+01
4.190000000000000000e+02,1.045526523955250475e+01
4.200000000000000000e+02,1.045684443680350029e+01
4.210000000000000000e+02,1.045842679599685354e+01
4.220000000000000000e+02,1.046001317011455534e+01
4.230000000000000000e+02,1.046160237889422007e+01
4.240000000000000000e+02,1.046319495430686786e+01
4.250000000000000000e+02,1.046479142766924930e+01
4.260000000000000000e+02,1.046639094045970531e+01
4.270000000000000000e+02,1.046799413078193375e+01
4.280000000000000000e+02,1.046960078159354701e+01
4.290000000000000000e+02,1.047121120991911525e+01
4.300000000000000000e+02,1.047282530546918977e+01
4.310000000000000000e+02,1.047444285138545794e+01
4.320000000000000000e+02,1.047606384439503380e+01
4.330000000000000000e+02,1.047768860111065159e+01
4.340000000000000000e+02,1.047931733114705821e+01
4.350000000000000000e+02,1.048094939134110781e+01
4.360000000000000000e+02,1.048258531115449088e+01
4.370000000000000000e+02,1.048422487390120672e+01
4.380000000000000000e+02,1.048586818254774933e+01
4.390000000000000000e+02,1.048751544635265454e+01
4.400000000000000000e+02,1.048916644871563264e+01
4.410000000000000000e+02,1.049082118602558467e+01
4.420000000000000000e+02,1.049247954833750462e+01
4.430000000000000000e+02,1.049414238249776510e+01
4.440000000000000000e+02,1.049580851529197290e+01
4.450000000000000000e+02,1.049747889954877600e+01
4.460000000000000000e+02,1.049915310634926158e+01
4.470000000000000000e+02,1.050083091963187165e+01
4.480000000000000000e+02,1.050251297261279682e+01
4.490000000000000000e+02,1.050419915504105894e+01
4.500000000000000000e+02,1.050588925073790492e+01
4.510000000000000000e+02,1.050758336186412656e+01
4.520000000000000000e+02,1.050928116647989619e+01
4.530000000000000000e+02,1.051098319069460452e+01
4.540000000000000000e+02,1.051268921847916005e+01
4.550000000000000000e+02,1.051439956350654015e+01
4.560000000000000000e+02,1.051611390391843770e+01
4.570000000000000000e+02,1.051783181244782384e+01
4.580000000000000000e+02,1.051955466068350908e+01
4.590000000000000000e+02,1.052128085746087471e+01
4.600000000000000000e+02,1.052301166795115250e+01
4.610000000000000000e+02,1.052474666479589693e+01
4.620000000000000000e+02,1.052648563247488411e+01
4.630000000000000000e+02,1.052822888378449306e+01
4.640000000000000000e+02,1.052997609765490594e+01
4.650000000000000000e+02,1.053172779773831635e+01
