Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
9,1858.0160,4.88e+12,1.35e+14,1.58e+13,1.0,0.0,841.1901589095783,1773.6809768287267,0.09231797482512578,0.5598703189587235,1.71e+05,2.83e+05,4.04e+05,253202.83973421092,431761.3602153936,786016.3705711017,21780.790220388953,100000000.0,0.0011101556123154772,0.4318451175991098,0.5672739034744001,0.46273182173548144,0.7643043161371974,0.94,0.20172332253786335,0.0991891561746126,6.23037268491679e-05,0.0004077902826122602,1.8820690462678464,2.388570591013299,5.45888757834428,0.0,0.0,0.0,1683.0,1235.0,
10,2042.4120,5.00e+12,1.27e+14,1.28e+13,1.0,0.0,737.8131407072767,1509.0920650451824,0.08063711122016555,0.6238756044674272,1.71e+05,3.40e+05,4.65e+05,261711.8334713361,463189.8265613327,853912.7549230976,19689.83880215566,100000000.0,0.0009437150034744731,0.4432542942913774,0.4980096999970307,0.38453847261622287,0.6969193024415617,0.94,0.22918746394391956,0.11096729052459603,6.042846108269054e-05,0.0003544060138180457,1.8789111039146504,2.7518378879937204,5.340797412669442,0.0,0.0,0.0,1683.0,1235.0,
11,2245.7040,4.61e+12,1.33e+14,1.47e+13,1.0,0.0,736.174802353077,1436.919636280008,0.08539796437429055,0.6074672121178223,1.72e+05,2.98e+05,4.41e+05,268151.73308188026,451969.2445203372,828043.9757665466,21689.965457088227,100000000.0,0.0008284130596811465,0.43373059634548283,0.5383099935192576,0.4051580661147325,0.7293034877207736,0.94,0.21475393724838043,0.11715212981288159,6.205645867655341e-05,0.00039501265289266596,1.9194525868194796,2.7889374218350174,5.203930930609539,0.0,0.0,0.0,1683.0,1235.0,
12,2445.9800,4.76e+12,1.39e+14,1.38e+13,1.0,0.0,734.967386540663,1336.6039632351362,0.084334925801853,0.5901744380678452,1.72e+05,3.16e+05,4.58e+05,266894.25886677456,469090.5934696023,834262.4800978032,20450.957872786443,100000000.0,0.0007267184114363666,0.4336665163529021,0.5151656285701074,0.37310670567624105,0.7050310051111986,0.94,0.2188936967817558,0.10952209904196594,6.067267981385739e-05,0.00038994992026991843,1.808875189299647,2.7829592148937996,5.403264082300358,0.0,0.0,0.0,1683.0,1235.0,
13,2649.1300,4.94e+12,1.35e+14,1.27e+13,1.0,0.0,704.4718437380934,1053.9903730766919,0.07661451573943132,0.6568985048303517,1.71e+05,3.18e+05,5.00e+05,289863.7884658372,470529.71178535855,798721.7087855695,17766.51428567819,100000000.0,0.0004600593440253101,0.43192303738959154,0.49015490501516934,0.31739304672979657,0.696768324200647,0.94,0.19052277272342347,0.12687909288844232,5.86022396758392e-05,0.0003792436181781513,1.74429111309291,3.1697955155680697,4.960247301566081,0.0,0.0,0.0,1683.0,1235.0,
14,2840.0050,5.00e+12,1.35e+14,1.30e+13,1.0,0.0,631.1868962065352,806.6254923789297,0.0729497059117859,0.6730809054793796,1.71e+05,3.13e+05,5.04e+05,288667.36394135084,470732.54062944464,871933.4804910442,19241.76328050445,100000000.0,0.0004503731588885383,0.43721425261333857,0.5060927558573753,0.3090932562260952,0.6363304479952596,0.94,0.17202859539363105,0.12725574493054476,5.7390193710673523e-05,0.0003555661611474878,1.733892201459962,3.135528069423298,4.6754813488220925,0.0,0.0,0.0,1683.0,1235.0,
15,3030.5370,5.00e+12,1.34e+14,1.32e+13,1.0,0.0,670.6455316753335,917.9213438002615,0.07358814916398378,0.6619409086349524,1.71e+05,3.12e+05,5.00e+05,285631.91183005506,473548.99422931124,846232.9459443527,19031.506116635614,100000000.0,0.0004026276849858214,0.43626096793756697,0.5084507336366423,0.3135038673201762,0.6629507370416794,0.94,0.17793695351811462,0.12459189581161567,5.81106632366489e-05,0.00035619543334047333,1.7321493247371487,3.0108653657927933,4.74015917616695,0.0,0.0,0.0,1683.0,1235.0,
16,3218.0120,4.97e+12,1.34e+14,1.31e+13,1.0,0.0,672.545032648339,930.2262640604438,0.07477589740858445,0.6652494391713585,1.71e+05,3.06e+05,4.94e+05,283820.7917802011,477702.7530951429,851566.157207278,19219.22975195075,100000000.0,0.00037737107029631883,0.43707220803245994,0.5093675705596146,0.3117765968565762,0.6688101643752216,0.94,0.18111542272882636,0.1215384481786856,5.791957518016071e-05,0.00035211336045937636,1.7667292176648863,3.0154110533358347,4.809058538382361,0.0,0.0,0.0,1683.0,1235.0,
17,3412.7090,4.98e+12,1.35e+14,1.31e+13,1.0,0.0,678.2995771267601,950.572242418534,0.0738173568684714,0.6665807164143877,1.71e+05,3.10e+05,5.02e+05,286540.28972052154,477011.2469260584,853551.1880648205,19098.584944700327,100000000.0,0.00036301050790111134,0.4368284655292233,0.5201230121187976,0.3055126481852043,0.6772767286855083,0.94,0.18158524076543003,0.1208649730313786,5.642317389464342e-05,0.00035114016559013167,1.730571940910445,3.0601960097451055,4.722190422739827,0.0,0.0,0.0,1683.0,1235.0,
18,3600.2840,5.02e+12,1.35e+14,1.24e+13,1.0,0.0,690.0730303654764,909.1803032123423,0.07254421029039748,0.6689879259787277,1.71e+05,3.10e+05,5.06e+05,288695.6583512764,480349.07714995503,841108.8771908402,18498.460414212277,100000000.0,0.0003369198841380504,0.4352831810996428,0.5128898611330656,0.29466962224130805,0.6811704710153257,0.94,0.1854487661681024,0.11847428525043913,5.61251529492317e-05,0.00034417862598642166,1.7368130988184936,3.028597313212585,4.802038891393586,0.0,0.0,0.0,1683.0,1235.0,
