Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
14,3776.2480,2.33e+12,7.50e+13,9.11e+12,1.0,0.0,1066.45999393066,1958.1487532424806,0.04497499872451805,0.5666459437910549,1.79e+05,1.84e+05,1.71e+05,209676.05021992576,318319.24102957244,398471.88121384213,21356.841493661894,100000000.0,1.8022572298230054e-05,0.7479844352114541,0.500312440426907,0.30420611599628367,0.8598040696408369,0.94,0.3041410410675255,0.14786546156921235,5.735913226932867e-05,0.000483008504150577,0.9949786350583684,1.4835239197200627,3.0225091027996163,0.0,0.0,0.0,1683.0,1235.0,
15,4091.4660,2.33e+12,7.52e+13,9.12e+12,1.0,0.0,1066.9392902621062,1916.813371515595,0.04505032701535086,0.563346733231181,1.80e+05,1.84e+05,1.70e+05,206489.7575297276,322162.0270657985,398489.72960591514,21537.208413131004,100000000.0,1.7222982266148575e-05,0.7471470556196369,0.5009498006152477,0.3053324496216467,0.8565242980326242,0.94,0.30611583343060667,0.1479729363709129,5.646237229047925e-05,0.0004831571240495211,0.995846342815524,1.4801478500766105,3.0258379993037394,0.0,0.0,0.0,1683.0,1235.0,
16,4367.9080,2.33e+12,7.51e+13,9.12e+12,1.0,0.0,1067.2817353828364,1866.0631404546002,0.04504326495810783,0.5640762642817179,1.79e+05,1.84e+05,1.71e+05,211014.6845405717,323620.177074215,399092.35706697986,21732.048482711252,100000000.0,1.6287531387517656e-05,0.7473859817529749,0.5001647389149955,0.3044350051089419,0.8583380435574921,0.94,0.3104321907821995,0.1454042651315783,5.643476325177765e-05,0.00048212103778350274,0.9936733172040879,1.4837067453723127,3.0216329439179788,0.0,0.0,0.0,1683.0,1235.0,
17,4585.4470,2.33e+12,7.50e+13,9.13e+12,1.0,0.0,1068.3478771371883,1767.8380428576424,0.045094262006695085,0.5608896654883313,1.79e+05,1.84e+05,1.71e+05,214402.64373041253,328167.3383459215,399109.4991327373,21671.550759939346,100000000.0,1.5019912834735573e-05,0.7474208444055995,0.4993597876938316,0.3044591565384222,0.8585065357436477,0.94,0.3121006862658289,0.14145835008029267,5.5951097670085886e-05,0.00048569230754860624,0.9911546294248756,1.48214271259473,3.0261964135735298,0.0,0.0,0.0,1683.0,1235.0,
18,4814.4040,2.32e+12,7.49e+13,9.16e+12,1.0,0.0,1065.8392909110166,1469.6807425076731,0.0452395183468875,0.5440078324779816,1.80e+05,1.84e+05,1.71e+05,215236.1653102102,338572.7036768386,401528.1017394676,21609.060318433876,100000000.0,1.27378195287831e-05,0.7483719601654477,0.49852506959806375,0.3042601924214877,0.8564900292215274,0.94,0.3192758539542619,0.13204258391434165,5.429215041460203e-05,0.0004885908895225263,0.9892723517866724,1.4757078236397825,3.028974372565338,0.0,0.0,0.0,1683.0,1235.0,
19,5075.4830,2.32e+12,7.50e+13,9.15e+12,1.0,0.0,1070.9223155647592,1497.4971947681822,0.04514161351393024,0.5445984124585003,1.80e+05,1.84e+05,1.71e+05,212388.43765308836,330555.3893733822,400932.5737162551,22022.9831797475,100000000.0,1.2558102594056384e-05,0.7460591066017566,0.4989645348056564,0.3043571386048688,0.8643594284982323,0.94,0.31871420591855304,0.1345377339443758,5.392855378854476e-05,0.00048082810837737043,0.9873991435727079,1.477897706285578,3.03210806406536,0.0,0.0,0.0,1683.0,1235.0,
20,5383.0260,2.32e+12,7.50e+13,9.14e+12,1.0,0.0,1069.2400353208463,1496.1963248381903,0.045251707573956294,0.5457863003716855,1.80e+05,1.84e+05,1.71e+05,214933.4696071301,334253.9629174352,400878.7285721239,21753.851450413247,100000000.0,1.2373070669269495e-05,0.7483040851935319,0.4980982869838677,0.3041871003034964,0.8594559465626606,0.94,0.31626322171706567,0.13269202922494572,5.555785971873737e-05,0.00047935006278504086,0.9875373627201367,1.474588103391511,3.024028343896936,0.0,0.0,0.0,1683.0,1235.0,
21,5668.7860,2.32e+12,7.49e+13,9.15e+12,1.0,0.0,1069.7148614063703,1483.2295797102224,0.04529467435525327,0.5416018203338333,1.80e+05,1.84e+05,1.71e+05,215018.7766281286,334329.3142221229,401175.85257259535,21370.302867630387,100000000.0,1.189564841511553e-05,0.7462999532405366,0.4982121932437966,0.3046773557517398,0.8581258387304269,0.94,0.31815610491145085,0.12753490544191495,5.771112575414927e-05,0.0004764702706616348,0.9866174468483371,1.4758036310119467,3.028663734653675,0.0,0.0,0.0,1683.0,1235.0,
22,5876.1270,2.31e+12,7.49e+13,9.15e+12,1.0,0.0,1071.1994871088968,1406.696282142807,0.0452619354115338,0.5185096275375001,1.80e+05,1.84e+05,1.71e+05,214728.3261711544,324360.2964765506,401271.68317517336,21394.391158927894,100000000.0,1.0386455241673707e-05,0.7464296127323012,0.49733129645805507,0.3051623305780451,0.8634313768621893,0.94,0.3164949205904387,0.12353678429421888,5.8373894288575706e-05,0.00044710638309285763,0.9821047048942733,1.4712191176562732,3.028589440254275,0.0,0.0,0.0,1683.0,1235.0,
23,6100.0410,2.29e+12,7.53e+13,9.18e+12,1.0,0.0,1079.149555507403,1305.17973039048,0.04555325346210133,0.5147852388291987,1.80e+05,1.84e+05,1.71e+05,218688.83531232443,314349.3827263062,402805.3456034885,21444.733887198036,100000000.0,7.75997238670539e-06,0.7442882837786564,0.49578254168586344,0.30588617900668646,0.8612188171378794,0.94,0.3110484480547755,0.11015961277860728,6.132989851766744e-05,0.0004053972233998181,0.977549366912378,1.4726908557093148,3.0389146114348824,0.0,0.0,0.0,1683.0,1235.0,
